,description,link,location,phone,service_name,va_facility
801,The Cheyenne VAMC Pathology and Laboratory is a CAP and FDA accredited laboratory.,http://www.cheyenne.va.gov/services/Pathology_and_Laboratory_Services.asp,Cheyenne VAMC,307-778-7550,Pathology and Laboratory Services,cheyenne
802,"The Cheyenne VAMC pharmacy processes hundreds of prescriptions daily. Prescriptions may be refilled by phone, mail or the Internet.",http://www.cheyenne.va.gov/services/pharmacy.asp,Automated Refill Line,866-420-6337,Pharmacy,cheyenne
803,PSAS serves Veterans with special needs for prostheses and sensory aids,http://www.cheyenne.va.gov/services/Prosthetic_and_Sensory_Aids_Service.asp,"Building 1, Bottom Floor, Basement, BL-51",307-778-7550 Ext. 7020  307-778-7550 Ext. 7226,Prosthetic and Sensory Aids Service (PSAS),cheyenne
804,"Radiology and Imaging Services provides a wide range of state of the art, imaging services performing many types of diagnostic tests.",http://www.cheyenne.va.gov/services/Radiology_and_Imaging_Service.asp,Cheyenne VAMC,307-778-7319,Radiology and Imaging Service,cheyenne
805,The Veterans Integration to Academic Leadership,http://www.cheyenne.va.gov/services/Veterans_Integration_to_Academic_Leadership.asp,"Laramie, WYFt. Collins, COGreeley, CO",307-287-8730,Veterans Integration to Academic Leadership,cheyenne
806,The purpose of the Veterans Justice Outreach Program is to avoid the unnecessary extended incarceration among Veterans.,http://www.cheyenne.va.gov/services/Veterans_Justice_Outreach.asp,Cheyenne VAMCMental Health,307-778-7349,Veterans Justice Outreach Program,cheyenne
807,Information on Complementary and Alternative Medicine Treatments - CAM - Jade Clinic,http://www.chicago.va.gov/services/Complementary_and_Alternative_Medicine_Treatments_CAM_Jade_Clinic.asp,Jesse Brown VAMC,312-569-8387,Complementary and Alternative Medicine Treatments (CAM) (Jade Clinic),chicago
808,The Ethics consultation program helps patients and families to choose the right course of action when there is uncertainty or conflict about the right thing to do.,http://www.chicago.va.gov/services/Ethics.asp,Ethics Consultation Service - Jesse Brown VAMC,312-569-6991,Ethics,chicago
809,The Ethics consultation program helps patients and families to choose the right course of action when there is uncertainty or conflict about the right thing to do.,http://www.chicago.va.gov/services/Ethics.asp,Ethics Consultation Service - Jesse Brown VAMC,312-569-6991,Ethics Consultation Program,chicago
810,Information on the Jesse Brown VAMC Former Prisoner of War  Advocate Program.,http://www.chicago.va.gov/services/Former_Prisoner_of_War_FPOW_Advocate_Program.asp,"820 S. Damen Avenue, Chicago, IL 60612",312-569-6539,Former Prisoner of War (FPOW) Advocate Program,chicago
811,The Ethics consultation program helps patients and families to choose the right course of action when there is uncertainty or conflict about the right thing to do.,http://www.chicago.va.gov/services/Ethics.asp,Ethics Consultation Service - Jesse Brown VAMC,312-569-6991,Integrated Ethics,chicago
812,Information on Mental Health Services at Jesse Brown VA Medical Center,http://www.chicago.va.gov/services/Mental_Health.asp,"Jesse Brown VAMC, Bldg. Ogden, Rm. 6371",312-569-7224,Mental Health,chicago
813,Information on Occupational Therapy,http://www.chicago.va.gov/services/Occupational_Therapy.asp,Jesse Brown VAMC,312-569-6113,Occupational Therapy,chicago
814,The Jesse Brown pharmacy program description and services offered.,http://www.chicago.va.gov/services/pharmacy.asp,"Jesse Brown VAMC, Rm. 1205",312-569-8387 Ext. 58810,Pharmacy,chicago
815,Information on Physical Medicine and Rehabilitation,http://www.chicago.va.gov/services/Physical_Medicine.asp,"Jesse Brown VAMC, Rm. 2535",312-569-6113,Physical Medicine and Rehabilitation - PM&R,chicago
816,Information on Physical Therapy and Kinesiotherapy,http://www.chicago.va.gov/services/Physical_Therapy_and_Kinesiotherapy.asp,Jesse Brown VAMC,312-569-6113,Physical Therapy and Kinesiotherapy,chicago
817,Information of the Jesse Brown VAMC Primary Care Program and the service offered.,http://www.chicago.va.gov/services/Primary_Care.asp,"820 S. Damen Avenue, Chicago, IL 60612",312-569-8387  888-569-5282,Primary Care,chicago
818,Information on Rehabilitation Services offered at Jesse Brown VA Medical Center,http://www.chicago.va.gov/services/Rehabilitation_Services.asp,"Jesse Brown VAMC, Rm. 2535",312-569-6377,Rehabilitation Services,chicago
819,Information on the services offered by the Jesse Brown VAMC research program.,http://www.chicago.va.gov/services/research.asp,"Jesse Brown VAMC, Bldg. Taylor, Rm. 6215",312-569-6166  312-569-8387 Ext. 56166,Research,chicago
820,Information on the services offered by the Jesse Brown VAMC Social Work Program.,http://www.chicago.va.gov/services/Social.asp,"Jesse Brown VAMC, Bldg. Taylor, Rm. 4210",312-569-8387  888-569-5282,Social Work,chicago
821,Information on the services offered by the Jesse Brown Speciality Care Program.,http://www.chicago.va.gov/services/Speciality_Care.asp,"820 S. Damen Avenue, Chicago, IL. 60612",312-569-8387  888-569-5282,Speciality Care,chicago
822,Our extended care program provides Community Living Centers (CLCs) as well as home and community care.,http://www.chillicothe.va.gov/services/Extended_Care.asp,Chillicothe VA Medical Center,740-773-1141  800-358-8262,Extended Care,chillicothe
823,Our medical foster home program provides another option for long-term care outside the hospital or nursing home setting.,http://www.chillicothe.va.gov/services/Medical_Foster_Home.asp,Chillicothe VA Medical Center,800-358-8262 Ext. 6507  740-773-1141 Ext. 6507,Medical Foster Home,chillicothe
824,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.chillicothe.va.gov/services/Mental_Health.asp,"Mental Health ClinicBuilding 31, Ground FloorRoom B083",740-773-1141  800-358-8262,Mental Health,chillicothe
825,"Our minority Veterans program promotes the use of VA benefits, programs and services by minority Veterans.",http://www.chillicothe.va.gov/services/Minority_Veterans_Program.asp,Chillicothe VA Medical Center,740-773-1141 Ext. 7204,Minority Veterans Program,chillicothe
826,Our Nutrition Service provides excellent nutritional care and counseling for both inpatients and outpatients.,http://www.chillicothe.va.gov/services/Nutrition_Services.asp,Chillicothe VA Medical Center,740-773-1141  800-358-8262,Nutrition Services,chillicothe
827,"Our pharmacy processes more than 5,000 prescriptions daily. Prescriptions may be refilled by mail, phone, or online.",http://www.chillicothe.va.gov/services/pharmacy.asp,"Pharmacy - OutpatientBuilding 31, second floor",740-773-1141 Ext. 7118  800-358-8262 Ext. 7118,Pharmacy,chillicothe
828,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.chillicothe.va.gov/services/Primary_Care.asp,Chillicothe VA Medical Center,740-773-1141  800-358-8262,Primary Care,chillicothe
829,"Our rehabilitation program provides physical medicine and rehabilitation, community living centers, as well as home and outpatient care.",http://www.chillicothe.va.gov/services/rehab.asp,"Building 210, Room G036",740-773-1141 Ext. 7638  800-358-8262,Rehabilitation,chillicothe
830,Social work is an integral part of health care. Our social work program assists Veterans with counseling and community services.,http://www.chillicothe.va.gov/services/Social_Work.asp,Chillicothe VA Medical Center,740-773-1141  800-358-8262,Social Work,chillicothe
831,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery aftercare and rehabilitation.",http://www.chillicothe.va.gov/services/sci.asp,"Building 30, Room 13",740-773-1141 Ext. 6251/6308  740-773-1141 Ext. 7637/7638,Spinal Cord Injury,chillicothe
832,Veterans Transportation System is a Transportation program for immobilized and remote VA patients to enhance existing programs implemented by the local VA Medical Center,http://www.chillicothe.va.gov/services/Veterans_Transportation_Service.asp,Chillicothe VA Medical Center,800-358-8262 Ext. 5596  740-773-1141 Ext. 5596,Veterans Transportation Service,chillicothe
833,"Every Veteran deserves compensation for the injuries sustained during military service, especially our nation's ""Silent Professionals.""",http://www.chillicothe.va.gov/services/Veterans_of_Special_Operation_Forces_VSOF.asp,Chillicothe VA Medical Center,740-773-1141 Ext. 7998  800-358-8262 Ext. 7998,Veterans of Special Operation Forces (VSOF),chillicothe
834,VLER is a free and Voluntary program that shares certain parts of a Veterans health record between the VA and DoD and private health care providers over a secure network.,http://www.chillicothe.va.gov/services/Virtual_Lifetime_Electronic_Record.asp,"Chillicothe VA Medical Center17273 State Route 104Chillicothe, OH 45601",740-773-1141 Ext. 6573,Virtual Lifetime Electronic Record,chillicothe
835,Our Vocational Services Program provides a comprehensive vocational program with a variety of services to meet the specific needs of our Veterans.,http://www.chillicothe.va.gov/services/Veterans_Industries.asp,Chillicothe VA Medical Center,740-773-1141 Ext. 7231  800-358-8262 Ext. 7231,Vocational Services,chillicothe
836,Wilmington Outreach Center Information,http://www.chillicothe.va.gov/services/Wilmington_Outreach_Center.asp,"Wilmington Outreach Center448 West Main StreetWilmington, Ohio 45177",937-382-3949,Wilmington Outreach Center,chillicothe
837,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,http://www.chillicothe.va.gov/services/Women_Veterans.asp,"Chillicothe VA Medical CenterSpeciality ClinicBuilding 27, Room 140",740-773-1141  800-358-8262,Women Veterans,chillicothe
838,The Cincinnati VAMC mental health - Assessment and Intensive Treatment Division program description and services offered.,http://www.cincinnati.va.gov/services/Assessment_and_Intensive_Treatment_Division_MHCL.asp,3200 Vine St. Cincinnati OH. 45227,513-861-3100,Assessment and Intensive Treatment Division MHCL,cincinnati
839,Audiology serves the hearing and balance needs of all Veterans.,http://www.cincinnati.va.gov/services/Audiology.asp,"Cincinnati VAMC3200 Vine StreetCincinnati, OH  45220",513-861-3100 Ext. 6305  513-475-6305,Audiology,cincinnati
840,Chaplain Service provides spiritual care through visitation and counseling as requested by patients.,http://www.cincinnati.va.gov/services/Chaplain.asp,"3200 Vine Street, Rm B163H, Cincinnati, OH 452201000 S. Fort Thomas Avenue, Rm 210, Fort Thomas, KY 41075",513-475-6307  859-572-6207,Chaplain,cincinnati
841,Community Employment Services at Cincinnati VA Medical Center help connect employers looking to hire Veterans and provides programs and services for Veterans.,http://www.cincinnati.va.gov/services/vocationalservices.asp,"Community Outreach Division909 Vine Street, Room 107Cincinnati, Ohio 45202",513-977-6818,Community Employment Services,cincinnati
842,Skilled nursing and rehabilitation care.,http://www.cincinnati.va.gov/services/clc.asp,"1000 South Ft. ThomasFt. Thomas, KY  41075",859-572-6210,Community Living Center,cincinnati
843,The Community Outreach Division provides services to Veterans who are homeless and/or at-risk of homelessness.,http://www.cincinnati.va.gov/services/CommunityOutreach.asp,"909 Vine Street, Cincinnati, OH 45202",513-977-6800  513-977-6836 Ext. FAX,Community Outreach Division,cincinnati
844,The Compensated Work Therapy program provides vocational opportunities for veterans seeking employment.,http://www.cincinnati.va.gov/services/cwt.asp,"1000 Fort Thomas Ave.Fort Thomas, KY  41075",859-572-6721,Compensated Work Therapy,cincinnati
845,The goal of the CWT program is to assist Veterans who have a history of work-related problems with transitioning into competitive employment in the community.,http://www.cincinnati.va.gov/services/Compensated_Work_Therapy_CWT.asp,"Fort Thomas Division, 1000 South Ft. Thomas,Ft. Thomas, Kentucky, 41075",859-572-6795,Compensated Work Therapy (CWT),cincinnati
846,General Dental Services,http://www.cincinnati.va.gov/services/Dental.asp,"3200 Vine Street2nd FloorCincinnati, OH  45220",513-475-6308,Dental,cincinnati
847,"The Domiciliary is a 58-bed residential rehabilitation program for homeless Veterans, or those at risk for homelessness, located at the Ft. Thomas Division.",http://www.cincinnati.va.gov/services/Domiciliary_Care_for_Homeless_Veterans.asp,"Fort Thomas Division, 1000 South Ft. Thomas,Ft. Thomas, Kentucky, 41075",859-572-6202 Ext. Option 5,Domiciliary Care for Homeless Veterans,cincinnati
848,"The Domiciliary is a 58-bed residential rehabilitation program for homeless Veterans, or those at risk for homelessness, located at the Ft. Thomas Division.",http://www.cincinnati.va.gov/services/Domiciliary_Care_for_Homeless_Veterans_Division.asp,"Fort Thomas Division, 1000 South Ft. Thomas,Ft. Thomas, Kentucky, 41075",859-572-6795,Domiciliary Care for Homeless Veterans Division,cincinnati
849,"The Cincinnati VAMC Highland Eye Center provides full optical, optometric and ophthalmologic care.",http://www.cincinnati.va.gov/services/eye_center.asp,"Highland Eye Center2929 Highland AveCincinnati, OH  45219",513-559-3599  513-559-3564,Eye Center (Highland),cincinnati
850,"Services offered include  Support group, Lesbian Bisexual Transgender, Military sexual trauma, individual counseling, PTSD,VITAL, family crisis, intervention,",http://www.cincinnati.va.gov/services/Family_Services_Program.asp,"3200 Vine StreetCincinnati, OH 45220",513-861-3100,Family Services Program,cincinnati
851,"The Fisher House is located on the grounds of the Cincinnati, VA Medical Center.  This home has 16 living suites.",http://www.cincinnati.va.gov/services/Fisher_House.asp,"3200 Vine StreetCincinnati, OH 45220",513-475-6571  513-487-6661,Fisher House,cincinnati
852,"Ft. Thomas Division services, driving directions and contact information.",http://www.cincinnati.va.gov/services/Ft_Thomas.asp,"Ft. Thomas Division - CLC1000 S. Ft Thomas AveFt. Thomas, KY  41075",859-572-6202,Ft. Thomas Division,cincinnati
853,Hospice and Palliative Care Services,http://www.cincinnati.va.gov/services/Hospice_and_Palliative_Care.asp,"1000 S. Ft. Thomas AvenueFt. Thomas, KY 41075",513-861-3100 Ext. 4297  513-475-6571,Hospice and Palliative Care,cincinnati
854,The Cincinnati VAMC embraces the national  policies that guarantee access for LGBT Veterans in the southwest Ohio area.,http://www.cincinnati.va.gov/services/LGBT.asp,"3200 Vine St.Cincinnati, OH 45220",513-861-3100,"Lesbian, Gay, Bisexual and Transgender Veterans",cincinnati
855,The Cincinnati VAMC mental health - Assessment and Intensive Treatment Division program description and services offered.,http://www.cincinnati.va.gov/services/MHCL_Assessment_and_Intensive_Treatment_Division.asp,"3200 Vine St. Cincinnati, OH 45220",513-861-3100,MHCL Assessment and Intensive Treatment Division,cincinnati
856,"Resources about the new Medical Foster Home  Program, offered through the office of Social Work Service.",http://www.cincinnati.va.gov/services/MFHP.asp,"3200 Vine StreetSocial Work Office Suite, 1st FloorCincinnati, OH 45220",513-487-6067,Medical Foster Home Program,cincinnati
857,Mental Health Education and Training Program explanation of services.,http://www.cincinnati.va.gov/services/Mental_Health_Education_and_Training.asp,"3200 Vine StreetCincinnati, OH 45220",513-487-6676,Mental Health Education and Training,cincinnati
858,Cincinnati VA Medical Center Mobile Unit.,http://www.cincinnati.va.gov/services/Mobile_Unit.asp,Cincinnati VAMobile Unit,513-487-6030,Mobile Health Clinic,cincinnati
859,Cincinnati VA Medical Center Mobile Unit.,http://www.cincinnati.va.gov/services/Mobile_Unit.asp,Cincinnati VAMobile Unit,513-487-6030,Mobile Unit,cincinnati
860,Electroencephalography/Electromyograph procedures.,http://www.cincinnati.va.gov/services/Neurology.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6318,Neurology,cincinnati
861,Nutrition counseling for all medical conditions.,http://www.cincinnati.va.gov/services/nutrition.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6309,Nutrition and Food Services,cincinnati
862,The OEF/OIF/OND Specialty clinic is exclusively for newly returned combat Veterans to include National Guard and Reservists.,http://www.cincinnati.va.gov/services/OEFOIFOND.asp,"3200 Vine Street, Cincinnati, OH 45220",513-475-6921  513-475-6947 Ext. Fax,OEF/OIF/OND,cincinnati
863,"Works with Veterans suffering from mental, physical or developmental conditions.",http://www.cincinnati.va.gov/services/Occupational_Therapy.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6669,Occupational Therapy,cincinnati
864,The VAMC Cincinnati outpatient mental health program description and services offered.,http://www.cincinnati.va.gov/services/Outpatient_Mental_Health_Division.asp,various,513-475-6368,Outpatient Mental Health Division,cincinnati
865,Multidisciplinary chronic pain management services.,http://www.cincinnati.va.gov/services/pain_mgmt.asp,"3200 Vine StreetCincinnati, OH  45220",513-487-6669,Pain Management,cincinnati
866,The Cincinnati VA Medical Center Pharmacy program description and services offered.,http://www.cincinnati.va.gov/services/pharmacy.asp,"3200 Vine StreetCincinnati, OH 45220",513-487-6606,Pharmacy,cincinnati
867,Physical Therapy provides interventions throughout the continuum of care to maximize patient mobility and function.,http://www.cincinnati.va.gov/services/phystherapy.asp,"3200 Vine StreetCincinnati, OH  45220",513-487-6624,Physical Therapy,cincinnati
868,Primary care has administrative and clinical responsibility for the medical center.,http://www.cincinnati.va.gov/services/primary.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6304,Primary Care,cincinnati
869,"Radiology provides diagnostic imaging services with the following modalities: MRI, CT and an Interventional Radiology Room.",http://www.cincinnati.va.gov/services/Radiology.asp,"Cincinnati VAMC3200 Vine StreetCincinnati, OH 45220",513-861-3100 Ext. 5286,Radiology,cincinnati
870,Provides activity based programs that integrates function and improves independence.,http://www.cincinnati.va.gov/services/rca_Therapy.asp,"1000 South Ft. ThomasFt. Thomas, KY  41075",859-572-6714,Recreation and Creative Arts Therapy Community Living Center,cincinnati
871,The mission of our research program is to conduct investigations that will improve the health care of Veterans.,http://www.cincinnati.va.gov/services/research.asp,"Medical Research Service 151, Rm B4203200 Vine StreetCincinnati, OH  45220",513-475-6328,Research and Development,cincinnati
872,Information for students and medical professionals about residencies and internships available at the Cincinnati VA Medical Center.,http://www.cincinnati.va.gov/services/internships.asp,"3200 Vine StreetCincinnati, OH  45220",513-861-3100,Residencies and Internships,cincinnati
873,Provide community resources and support to Veterans.,http://www.cincinnati.va.gov/services/socialwork.asp,"3200 Vine StreetColumbus, OH  452201st Floor",513-861-3100 Ext. 6329,Social Work,cincinnati
874,The Cincinnati VAMC Mental Health - Special Services Division description and services offered.,http://www.cincinnati.va.gov/services/Special_Services_Division.asp,3200 Vine St. Cincinnati OH 45220,513-276-1800,Special Services Division MHCL,cincinnati
875,The Speech Language Pathology Service provides treatment and assessment of speech disorders.,http://www.cincinnati.va.gov/services/speech_pathology.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6546  513-476-6305,Speech Pathology,cincinnati
876,Provides care that minimizes the complications of spinal cord injury and dysfunction.,http://www.cincinnati.va.gov/services/sci.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6431,Spinal Cord Injury,cincinnati
877,The Cincinnati VAMC Substance Dependence Program Division description and services offered,http://www.cincinnati.va.gov/services/Substance_Dependence_Program_Division.asp,"3200 Vine StreetCincinnati, OH 45220",513-475-6353,Substance Dependence Program Division,cincinnati
878,The SE program is designed to assist Veterans with severe mental illness in gaining access to meaningful competitive employment.,http://www.cincinnati.va.gov/services/Supported_Employment.asp,"Fort Thomas Division, 1000 South Ft. Thomas,Ft. Thomas, Kentucky, 41075",859-572-6795,Supported Employment (SE),cincinnati
879,Trauma Recovery Center Division includes Outpatient Treatment and The Residential PTSD Treatment Program.,http://www.cincinnati.va.gov/services/Trauma_Recovery_Center_TRC_Division_MHCL.asp,"1000 S. Ft. Thomas Ave. Ft. Thomas, KY 41075",859-572-6208,Trauma Recovery Center (TRC) Division-MHCL,cincinnati
880,The Cincinnati VAMC mental health - PTSD program description and services offered.,http://www.cincinnati.va.gov/services/PTSD_Mental_Health.asp,Cincinnati VA Medical Center,859-572-6208,Trauma Recovery Center Division,cincinnati
881,Teach skills for Recovery for patients with a severe mental illness.,http://www.cincinnati.va.gov/services/Treatment_Recovery_and_Activity_Center.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6369,Treatment Recovery and Activity Center,cincinnati
882,Teach skills for Recovery for patients with a severe mental illness.,http://www.cincinnati.va.gov/services/trac.asp,"3200 Vine StreetCincinnati, OH  45220",513-475-6369,"Treatment, Recovery and Activity Center",cincinnati
883,VA POWER: Parent Online-Skills for Wellness Results program offers Veterans online parent support and unlimited access to providers.,http://www.cincinnati.va.gov/services/onlineparentskills.asp,online,513-200-2833,VA POWER: Parent Online-skills for Wellness Results,cincinnati
884,The Section of Vascular Surgery provides complete care of the Veteran with peripheral vascular surgery problems.,http://www.cincinnati.va.gov/services/vascular.asp,"3200 Vine StreetCincinnati, OH  45220",513-861-3100,Vascular Surgery,cincinnati
885,,http://www.cincinnati.va.gov/services/vba_rep.asp,"Veteran Benefits Administration Representative3200 Vine Street, A330Cincinnati, OH  45220",513-487-6054,Veteran Benefits Counselor,cincinnati
886,Veterans Integration Into Academic Leadership Program and explanation of services offered.,http://www.cincinnati.va.gov/services/Veterans_Integration_Into_Academic_Leadership.asp,"3200 Vine StreetCincinnati, OH 45220",513-276-1800,Veterans Integration Into Academic Leadership,cincinnati
887,The purpose of the VJO initiative is to avoid the unnecessary criminalization and extended incarceration of Veterans with mental illnesses.,http://www.cincinnati.va.gov/services/Veterans_Justice_Outreach.asp,"Fort Thomas Division, 1000 South Ft. Thomas,Ft. Thomas, Kentucky, 41075",513-977-6838,Veterans Justice Outreach (VJO),cincinnati
888,Page provides general info about the Virtual Lifetime Electronic Record VLER Health Program at Cincinnati VA Medical Clinic Offers contact info  and how to sign up,http://www.cincinnati.va.gov/services/VLER.asp,"3200 Vine StreetCincinnati, Ohio 45220ROI/HIMS, MC 136B",513-487-7050,Virtual Lifetime Electronic Record (VLER),cincinnati
889,"The purpose of the Vocational Rehabilitation program is to provide assistance, guidance, and counseling in the area of employment.",http://www.cincinnati.va.gov/services/Vocational_Rehabilitation.asp,"Fort Thomas Division, 1000 South Ft. Thomas,Ft. Thomas, Kentucky, 41075",859-572-6795,Vocational Rehabilitation,cincinnati
890,Community Employment Services at Cincinnati VA Medical Center help connect employers looking to hire Veterans and provides programs and services for Veterans.,http://www.cincinnati.va.gov/services/vocationalservices.asp,"Community Outreach Division909 Vine Street, Room 107Cincinnati, Ohio 45202",513-977-6818,Vocational Services,cincinnati
891,Cincinnati VA Medical Center relies on the goodwill of our benefactors and volunteers who wish to give something back to Americas heroes.,http://www.cincinnati.va.gov/services/giving.asp,Cincinnati VAMC,513-475-6332  513-861-3100 Ext. 3020,Volunteer,cincinnati
892,The Cincinnati VA Medical Center model for Womens Health Care targets programs and facilities to meet the unique needs of female Veterans.,http://www.cincinnati.va.gov/services/women.asp,"Cincinnati VAMC3200 Vine StreetCincinnati, OH  45220",513-487-6628,Women's Health,cincinnati
893,We offer an interventional pain management clinic which offers treatment for chronic and acute pain issues.,http://www.clarksburg.va.gov/services/Anesthesiology_Pain_Management.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Anesthesiology/Pain Management,clarksburg
894,"Provide assistance and support to the most severely wounded, ill and injured  Post 911 Soldiers and their Families/Caregivers throughout the Wounded Warrior Lifecycle.",http://www.clarksburg.va.gov/services/aw2.asp,Clarksburg VAMC,304-623-3461 Ext. 3353,Army Wounded Warrior Program,clarksburg
895,"High quality, comprehensive, state of the art clinical services including comprehensive assessment and treatment as follows:",http://www.clarksburg.va.gov/services/Audiology.asp,2nd Floor,304-623-3461 Ext. 4061  800-733-0512,Audiology,clarksburg
896,"Our mission is to maintain and improve the health and well-being of Veterans through excellence in health care, social services, education, and research.",http://www.clarksburg.va.gov/services/Behavioral_Health.asp,4th Floor,304-623-3461 Ext. 3242 or 3551  800-733-0512 Ext. 3242 or 3551,Behavioral Health,clarksburg
897,"We offers Superior NonInvasive Cardiovascular Imaging and Clinical Services, dedicated to accurately diagnosing....",http://www.clarksburg.va.gov/services/Cardiology.asp,1st Floor,304-623-3461 Ext. 3835  800-733-0512 Ext. 3835,Cardiology,clarksburg
898,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",http://www.clarksburg.va.gov/services/Caregiver_Program.asp,Clarksburg VAMC,304-623-3461 Ext. 3885  800-733-0512 Ext. 3885,Caregiver Program,clarksburg
899,The VA Chaplain Service's primary mission is to provide for the religious and spiritual care of patients and their family members.,http://www.clarksburg.va.gov/services/Chaplain_Service.asp,Clarksburg VAMC,304-623-3461 Ext. 4063  800-733-0512 Ext. 4063,Chaplain Service,clarksburg
900,Compensated Work Therapy is a program comprised of Therapeutic Work and Supported Employment. The goal of the program is to help veterans obtain permanent employment.,http://www.clarksburg.va.gov/services/Compensated_Work_Therapy_CWT.asp,4th Floor,304-623-3461 Ext. 3265  800-733-0512 Ext. 3265,Compensated Work Therapy (CWT),clarksburg
901,"The wind, change in temperature, sun and other environmental factors make the skin vulnerable to growths, rashes, discolorations, cysts, burns...",http://www.clarksburg.va.gov/services/Dermatology.asp,1st Floor,304-623-3461 Ext. 3835  800-733-0512 Ext. 3835,Dermatology,clarksburg
902,"The Low Acuity/Intensity for Pre-Diabetes, Diabetes, and Weight Management",http://www.clarksburg.va.gov/services/Diabetes.asp,5th Floor,304-623-3461 Ext. 2294  800-733-0512 Ext. 2294,Diabetes,clarksburg
903,The Extended Care and Rehabilitation Program at the Louis A. Johnson VA Medical Center is composed of four areas...,http://www.clarksburg.va.gov/services/Extended_Care_and_Rehabilitation.asp,6th Floor,304-623-3461  800-733-0512,Extended Care and Rehabilitation,clarksburg
904,We provide comprehensive eye care in an outpatient setting.,http://www.clarksburg.va.gov/services/Eye_Care.asp,1st Floor,304-623-3461 Ext. 3246  800-733-0512 Ext. 3246,Eye Care,clarksburg
905,Fee Basis is responsible for the administrative and clinical adjudication of non-VA medical claims submitted for payment consideration.,http://www.clarksburg.va.gov/services/Fee_Basis.asp,Clarksburg VAMC,304-623-3461 Ext. 3333  800-733-0512 Ext. 3333,Fee Basis,clarksburg
906,"We treat many digestive diseases including acid reflux disease, peptic ulcers, Crohn's Disease, ulcerative colitis, Hepatitis C, and Barrett's esophagus.",http://www.clarksburg.va.gov/services/Gastroenterology.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,Gastroenterology,clarksburg
907,"We offer surgical interventions for issues involving the abdomen, breast, and skin.",http://www.clarksburg.va.gov/services/General_Surgery.asp,3rd Floor,304-623-3461 Ext. 3308 or 3309  800-733-0512 Ext. 3308 or 3309,General Surgery,clarksburg
908,Keeping you informed so that you become proactive in preventing disease and maintaining good health.,http://www.clarksburg.va.gov/services/Health_Education.asp,Clarksburg VAMC,304-623-3461 Ext. 2094  800-733-0512 Ext. 2094,Health Education,clarksburg
909,"Dedicated to serving Veterans with Cancer and Hematologic disorders, our compassionate patient driven staff offer:",http://www.clarksburg.va.gov/services/Hematology.asp,1st Floor,304-623-3461 Ext. 3404  800-733-0512 Ext. 3404,Hematology,clarksburg
910,Primary Care brought into the homes of the Veterans who  are unable to physically make it into the hospital.,http://www.clarksburg.va.gov/services/Home_Based_Primary_Care.asp,4th Floor,304-623-3461 Ext. 2264  800-733-0512 Ext. 2264,Home Based Primary Care,clarksburg
911,"If you are a Veteran who has lost your home, receive the support youve earned to get back on your feet.",http://www.clarksburg.va.gov/services/Homeless_Veterans.asp,4th Floor,304-623-3461 Ext. 2068  800-733-0512 Ext. 2068,Homeless Veterans,clarksburg
912,"Hospice care is when the focus of care is on comfort rather than cure, creating a plan that honors both the Veteran and/or their familys wishes at the end of life.",http://www.clarksburg.va.gov/services/Hospice_Care.asp,6th Floor,304-623-3461 Ext. 3679  800-733-0512 Ext. 3679,Hospice Care,clarksburg
913,"You are not alone at the Louis A. Johnson VA Medical Center. Take advantage of your Veteran Benefits and contact us. We care, and we can help.",http://www.clarksburg.va.gov/services/Mental_Health_Outpatient_Clinic.asp,4th Floor,304-623-3461 Ext. 3242 or 3551  800-733-0512 Ext. 3242 or 3551,Mental Health Outpatient Clinic,clarksburg
914,"MST refers to physical assault of a sexual nature, battery of a sexual nature, or sexual harassment repeated unsolicited verbal or physical contact of a sexual...",http://www.clarksburg.va.gov/services/Military_sexual_trauma_MST.asp,4th Floor,304-623-3461 Ext. 3905  800-733-0512 Ext. 3905,Military sexual trauma (MST),clarksburg
915,"My HealtheVet is an award-winning personal health care database, specifically generated to provide Veterans and Servicemembers 24/7 access to their clinical case files.",http://www.clarksburg.va.gov/services/MyHealtheVet.asp,2nd Floor,304-623-7635,MyHealtheVet,clarksburg
916,"A skilled rehabilitation service that helps individuals achieve independence in all areas of their lives after experiencing disease, illness, or injury.",http://www.clarksburg.va.gov/services/Occupational_therapy_OT.asp,4th Floor,304-623-3461 Ext. 3935  800-733-0512 Ext. 3935,Occupational therapy (OT),clarksburg
