facility_id,official_station_name,location_descriptive_name_common_name,classification,street_address,suite_building_number,city,state,zip_code,station_phone_number,station_fax_number,after_hours_phone_number,pharmacy_phone_number,enrollment_coordinator_phone_number,patient_advocate_phone_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,hours_note
516,C.W. Bill Young Department of Veterans Affairs Medical Center,Bay Pines,VA Medical Center (VAMC),10000 Bay Pines Boulevard,,Bay Pines,FL,33708,727-398-6661 x,727-398-9442 x,888-820-0230 x,888-820-0230 x,727-398-6661 x5684,727-398-9524 x,27.81385727,-82.77945771,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
516BZ,Lee County VA Clinic,Lee County-Cape Coral,Health Care Center (HCC),2489 Diplomat Parkway East,,Cape Coral,FL,33909,239-652-1800 x,239-652-1951 x,888-820-0230 x,239-652-1800 x,239-652-1800 x20222,239-652-1800 x20387,26.68356717,-81.9203757,730AM-430PM,730AM-430PM,700AM-700PM,730AM-430PM,730AM-430PM,800AM-1200PM,-,We are open Saturdays by appointment only.  We are closed Sundays and all federal holidays.
516GA,Sarasota VA Clinic,Sarasota,Primary Care CBOC,5682 Bee Ridge Road,Suite 100,Sarasota,FL,34233,941-371-3349 x,941-371-7749 x,888-820-0230 x,888-820-0230 x,941-371-3349 x6900,727-398-9524 x,27.29876263,-82.45619106,730AM-430PM,730AM-430PM,700AM-700PM,730AM-430PM,730AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
516GB,St. Petersburg VA Clinic,St. Petersburg,Primary Care CBOC,840 Dr. Martin Luther King Jr. Street North,,St. Petersburg,FL,33705,727-502-1700 x,727-502-1773 x,888-820-0230 x,888-820-0230 x,727-502-1700 x3702,727-398-9524 x,27.78064936,-82.6467012,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
516GC,Palm Harbor VA Clinic,Palm Harbor,Primary Care CBOC,35209 US Hwy 19 North,,Palm Harbor,FL,34684,727-734-5276 x,727-734-5914 x,888-820-0230 x,888-820-0230 x,727-734-5276 x,727-398-9524 x,28.09230135,-82.73940902,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
516GD,Bradenton VA Clinic,Bradenton,Multi-Specialty CBOC,5520 State Route 64,Suite 101,Bradenton,FL,34208,941-721-0649 x,941-721-6080 x,888-820-0230 x,888-820-0230 x,941-721-0649 x,727-398-9524 x,27.49404242,-82.49198039,800AM-430PM,800AM-430PM,700AM-700PM,800AM-430PM,800AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
516GE,Port Charlotte VA Clinic,Port Charlotte,Multi-Specialty CBOC,4161 Tamiami Trail,Suite 401,Port Charlotte,FL,33952,941-235-2710 x,941-613-0935 x,888-820-0230 x,888-820-0230 x,239-939-3939 x6303,239-939-3939 x6213,26.96889472,-82.08145062,800AM-430PM,800AM-430PM,700AM-700PM,800AM-430PM,800AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
516GF,Naples VA Clinic,Naples,Primary Care CBOC,2685 Horseshoe Drive South,Suite 101,Naples,FL,34104,239-659-9188 x,941-659-0526 x,888-820-0230 x,888-820-0230 x,239-939-3939 x6303,239-939-3939 x6213,26.16199797,-81.77394089,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
516GH,Sebring VA Clinic,Sebring,Primary Care CBOC,5901 US Highway 27 South,,Sebring,FL,33870,863-471-6227 x,863-471-6510 x,888-820-0230 x,888-820-0230 x,863-471-6227 x22601,727-398-6661 x5024,27.53482476,-81.50252068,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
546,Bruce W. Carter Department of Veterans Affairs Medical Center,Miami,VA Medical Center (VAMC),1201 Northwest 16th Street,,Miami,FL,33125,305-575-7000 x,305-575-3266 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,305-575-7000 x7007,25.79043823,-80.21617161,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
546BZ,"William ""Bill"" Kling Department of Veterans Affairs Outpatient Clinic",Sunrise,Multi-Specialty CBOC,9800 West Commercial Boulevard,,Sunrise,FL,33351,954-475-5500 x,954-625-8758 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,954-475-5500 x8729,26.19363369,-80.28120066,800AM-630PM,800AM-630PM,800AM-630PM,800AM-630PM,800AM-630PM,800AM-430PM,-,We are closed Sundays and all federal holidays.
546GA,Miami Flagler VA Clinic,Miami Flagler,Other Outpatient Services (OOS),1492 West Flagler Street,Suite 102,Miami,FL,33135,305-541-8435 x,305-541-6974 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,305-575-7000 x7007,25.77335287,-80.21947004,800AM-630PM,800AM-630PM,800AM-630PM,800AM-630PM,800AM-630PM,800AM-430PM,-,We are closed Sundays and all federal holidays.
546GB,Key West VA Clinic,Key West,Primary Care CBOC,1300 Douglas Circle,Building L-15,Key West,FL,33040,305-293-4609 x,305-293-4813 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,305-575-7000 x7007,24.5692478,-81.75042024,830AM-430PM,830AM-430PM,830AM-430PM,830AM-430PM,830AM-430PM,-,-,We are closed weekends and all federal holidays.
546GC,Homestead VA Clinic,Homestead,Primary Care CBOC,950 Krome Avenue,Suite 401,Homestead,FL,33030,305-248-0874 x,305-248-1875 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,305-575-7000 x7007,25.47927917,-80.47748961,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
546GD,Pembroke Pines VA Clinic,Pembroke Pines-Hollywood,Primary Care CBOC,7369 Sheridan Street,Suite 102,Hollywood,FL,33024,954-894-1668 x,954-894-6670 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,954-475-5500 x8729,26.0314084,-80.23593185,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
546GE,Key Largo VA Clinic,Key Largo,Primary Care CBOC,105662 Overseas Highway,,Key Largo,FL,33037,305-451-0164 x,305-451-4864 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,305-575-7000 x7007,25.16366915,-80.38065335,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
546GF,Hollywood VA Clinic,Hollywood,Primary Care CBOC,3702 Washington Street,Suite 201,Hollywood,FL,33021,954-986-1811 x,954-986-9452 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,954-475-5500 x8729,26.00299302,-80.18084935,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
546GH,Deerfield Beach VA Clinic,Deerfield Beach,Primary Care CBOC,2100 Southwest 10th Street,,Deerfield Beach,FL,33442,954-570-5572 x,954-570-6207 x,305-575-7000 x3636,305-575-3376 x,305-575-7000 x3854,305-575-7000 x8729,26.30392338,-80.13322036,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548,West Palm Beach VA Medical Center,West Palm Beach,VA Medical Center (VAMC),7305 North Military Trail,,West Palm Beach,FL,33410,561-422-8262 x,561-422-6707 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,26.7858917,-80.10727122,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
548GA,Fort Pierce VA Clinic,Fort Pierce,Primary Care CBOC,1901 South 25th Street,Suite 103,Fort Pierce,FL,34947,772-595-5150 x,772-595-6560 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,27.4286016,-80.35032184,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548GB,Delray Beach VA Clinic,Delray Beach,Primary Care CBOC,4800 Linton Boulevard,Suite E300,Delray Beach,FL,33445,561-495-1973 x,561-495-2097 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,26.43924263,-80.11959077,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548GC,Stuart VA Clinic,Stuart,Primary Care CBOC,3501 Southeast Willoughby Boulevard,,Stuart,FL,34994,772-288-0304 x,772-288-1371 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,27.16169976,-80.24052866,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548GD,Boca Raton VA Clinic,Boca Raton,Primary Care CBOC,901 Meadows Road,,Boca Raton,FL,33433,561-416-8995 x,561-416-9374 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,26.35874689,-80.1041163,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548GE,Vero Beach VA Clinic,Vero Beach,Primary Care CBOC,372 17th Street,,Vero Beach,FL,32960,772-299-4623 x,772-299-4632 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,27.63251623,-80.38040074,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548GF,Okeechobee VA Clinic,Okeechobee,Primary Care CBOC,1201 North Parrot Avenue,,Okeechobee,FL,34972,863-824-3232 x,863-824-3379 x,877-741-3400 x,800-317-8387 x,561-422-6916 x,561-422-5673 x,27.25613955,-80.82995096,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
548QA,Port Saint Lucie VA Clinic,Port Saint Lucie,Other Outpatient Services (OOS),128 Southwest Chamber Court,,Port Saint Lucie,FL,34986,772-878-7876 x,561-422-8613 x,561-422-8262 x,561-422-7205 x,561-422-6838 x,561-422-5673 x,27.31097142,-80.40167063,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
573,Malcom Randall Department of Veterans Affairs Medical Center,Gainesville,VA Medical Center (VAMC),1601 Southwest Archer Road,,Gainesville,FL,32608,352-376-1611 x,352-374-6113 x,352-376-1611 x,800-349-9457 x,352-376-1611 x7084,352-374-6019 x,29.63838395,-82.34528131,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
573A4,Lake City VA Medical Center,Lake City,VA Medical Center (VAMC),619 South Marion Avenue,,Lake City,FL,32025,386-755-3016 x,386-758-3209 x,386-755-3016 x2058,800-349-9457 x,386-755-3016 x2761,800-308-8387 x2073,30.18237194,-82.6369388,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
573BU,Gainesville VA Domiciliary,Gainesville Domiciliary,Residential Care Site (MH RRTP/DRRTP) (Stand-Alone),1604 Southeast 3rd Avenue,,Gainesville,FL,32641,352-548-1800 x,352-379-2748 x,352-548-1800 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.64918833,-82.30396011,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
573BY,Jacksonville 1 VA Clinic,Jacksonville 1,Multi-Specialty CBOC,1536 North Jefferson Street,,Jacksonville,FL,32209,904-475-5800 x,352-374-6116 x,877-741-3400 x,904-475-6313 x,904-475-6166 x,904-475-5945 x,30.34369511,-81.66307193,630AM-530PM,630AM-530PM,630AM-530PM,630AM-530PM,630AM-530PM,800AM-1200PM,-,"We are closed Sundays and all federal holidays. Mental Health services are provided 7:00 a.m.-5:30 p.m. on Mondays, and 8:00 a.m.-4:30 p.m. Tuesday through Friday. Physical Therapy and Occupational Therapy is offered 7:00 a.m.-4:30 p.m. Monday through Friday."
573GA,Valdosta VA Clinic,Valdosta,Primary Care CBOC,2841 North Patterson Street,,Valdosta,GA,31602,229-293-0132 x,229-293-0162 x,386-755-3016 x2058,800-349-9457 x,229-316-2619 x1252,272-398-6661 x5024,30.86838791,-83.29002998,800AM-700PM,800AM-430PM,800AM-700PM,800AM-430PM,800AM-430PM,-,-,We are open extended hours on Mondays and Wednesdays 5 p.m. to 7 p.m. for mental health services only. We are closed weekends and all federal holidays.
573GD,Ocala VA Clinic,Ocala,Multi-Specialty CBOC,1515 East Silver Springs Boulevard,Suite 226,Ocala,FL,34470,352-369-3320 x,352-369-3324 x,352-376-1611 x,800-349-9457 x,352-369-1328 x,727-398-6661 x5024,29.18699772,-82.11770063,730AM-430PM,730AM-430PM,730AM-530PM,730AM-430PM,730AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
573GE,Saint Augustine VA Clinic,Saint Augustine,Primary Care CBOC,1955 Highway US 1 South,Suite 200,Saint Augustine,FL,32086,904-829-0814 x,904-829-6174 x,352-376-1611 x,800-349-9457 x,386-755-3016 x2761,352-374-6019 x,29.8651807,-81.32321045,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
573GF,Tallahassee VA Clinic,Tallahassee,Multi-Specialty CBOC,1607 St. James Court,,Tallahassee,FL,32308,850-878-0191 x,850-878-8900 x,386-755-3016 x2058,800-349-9457 x,850-878-0194 x12084,352-374-6019 x,30.45656724,-84.24097298,730AM-430PM,730AM-430PM,730AM-430PM,700AM-430PM,730AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
573GG,Lecanto VA Clinic,Lecanto,Primary Care CBOC,2804 West Marc Knighton Court,Suite A,Lecanto,FL,34461,352-746-8000 x,352-746-8001 x,352-376-1611 x,800-349-9457 x,352-746-8010 x,352-374-6019 x,28.90565159,-82.48042922,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
573GI,The Villages VA Clinic,The Villages,Multi-Specialty CBOC,8900 Southeast 165th Mulberry Lane,,The Villages,FL,32162,352-674-5000 x,352-205-8901 x,352-376-1611 x,800-349-9457 x,352-674-5000 x1260,352-374-6019 x,28.98114351,-82.0051708,800AM-430PM,800AM-430PM,800AM-600PM,800AM-430PM,800AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays. Mental Health Services are available until from 8:00 a.m.-7:00 p.m. on Wednesdays.
573GJ,St. Marys VA Clinic,St. Marys,Primary Care CBOC,205 Lakeshore Point,,St. Marys,GA,31558,912-510-3420 x,912-510-3425 x,386-755-3016 x2058,800-349-9457 x,912-510-3420 x1216,352-374-6019 x,30.77991382,-81.61593962,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
573GK,Marianna VA Clinic,Marianna,Primary Care CBOC,4970 Highway 90,,Marianna,FL,32446,850-718-5620 x,850-718-5672 x,386-755-3016 x2058,800-349-9457 x,850-718-5620 x1204,352-374-6019 x,30.74721808,-85.18186537,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays. We are located in the Central time zone.
573GL,Palatka VA Clinic,Palatka,Primary Care CBOC,400 North State Road 19,Suite 48,Palatka,FL,32177,386-329-8800 x,386-329-8805 x,352-376-1611 x,800-349-9457 x,386-329-8800 x1229,352-374-6019 x,29.65243663,-81.67205692,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
573GM,Waycross VA Clinic,Waycross,Primary Care CBOC,515B City Boulevard,,Waycross,GA,31501,912-279-4400 x,912-279-4448 x,877-741-3400 x,800-349-9457 x,386-755-3016 x2059,352-376-1611 x6019,31.21415104,-82.32994179,700AM-530PM,700AM-530PM,700AM-530PM,700AM-530PM,-,-,-,"We are closed Friday's, weekends and all federal holidays."
573GN,Perry VA Clinic,Perry VA Clinic ,Primary Care CBOC,1224 North Peacock Avenue,,Perry,FL,32347,850-878-0191 x,850-878-8900 x,800-541-8387 x,352-374-6105 x,850-878-0191 x2083,850-878-0191 x2009,30.12786172,-83.57632841,700AM-530PM,700AM-530PM,700AM-530PM,700AM-530PM,700AM-530PM,-,-,-
573QA,Gainesville Sixteenth Street VA Clinic,Gainesville 1-16th Street,Other Outpatient Services (OOS),620 Northwest 16th Street,Suites I and II,Gainesville,FL,32601,352-376-1611 x,352-376-7901 x,352-416-0351 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.66666189,-82.33110825,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
573QB,Gainesville Ninety Eighth Street VA Clinic,Gainesville 2-98th Street,Other Outpatient Services (OOS),3401 Northwest 98th Street,,Gainesville,FL,32606,352-376-1611 x7090,352-271-4541 x,877-741-3400 x,352-374-6105 x,352-376-1611 x6731,352-376-1611 x6019,29.68481479,-82.45054411,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,-,-,We are closed weekends and all federal holidays.
573QC,Gainesville Sixty Fourth Street 1 VA Clinic,Gainesville 3-64th Street (C),Other Outpatient Services (OOS),5415 Southwest 64th Street,,Gainesville,FL,32608,352-338-4900 x1200,352-338-4950 x,877-741-3400 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.60377732,-82.41054579,730AM-830PM,730AM-830PM,730AM-830PM,730AM-830PM,730AM-830PM,700AM-330PM,-,We are closed Sunday's and all federal holidays.
573QD,Gainesville Sixty Fourth Street 2 VA Clinic,Gainesville 4-64th Street (O),Other Outpatient Services (OOS),5533 Southwest 64th Street,,Gainesville,FL,32608,352-274-5967 x,352-271-5968 x,877-741-3400 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.60309433,-82.41002596,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,-,-,We are closed weekends and all federal holidays.
573QE,Gainesville Sixty Fourth Street 3 VA Clinic,Gainesville 5-64th Street (D),Other Outpatient Services (OOS),5571 Southwest 64th Street,,Gainesville,FL,32608,352-337-4900 x,352-337-4990 x,877-741-3400 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.60293815,-82.40984647,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,-,-,We are closed weekends and all federal holidays.
573QF,Gainesville Twenty Third Avenue VA Clinic,Gainesville 6-23rd Avenue,Other Outpatient Services (OOS),825 Northwest 23rd Avenue,,Gainesville,FL,32609,352-376-1611 x5263,352-248-0270 x,352-316-3217 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.67394281,-82.3339,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
573QG,Jacksonville Southpoint VA Clinic,Jacksonville Southpoint,Other Outpatient Services (OOS),6900 Southpoint Drive North,,Jacksonville,FL,32216,904-470-6900 x,904-470-6901 x,877-741-3400 x,800-349-9457 x,386-755-3016 x2059,352-376-1611 x6019,30.2555165,-81.58838538,700AM-530PM,700AM-530PM,700AM-530PM,700AM-530PM,700AM-530PM,-,-,We are closed weekends and all federal holidays.
573QH,Ocala West VA Clinic,Ocala West,Other Outpatient Services (OOS),3307 Southwest 26th Avenue,,Ocala,FL,34474,352-861-3940 x,352-369-3324 x,877-741-3400 x,800-349-9457 x,352-376-1611 x6731,352-376-1611 x6019,29.16287075,-82.17788506,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,-,-,We are closed weekends and all federal holidays.
573QI,Mahan Boulevard VA Clinic,Mahan Boulevard-Tallahassee,Other Outpatient Services (OOS),1615 Mahan Center Boulevard,,Tallahassee,FL,32308,850-521-5700 x,850-521-5701 x,877-741-3400 x,800-349-9457 x,386-755-3016 x2059,352-376-1611 x6019,30.45868302,-84.23546165,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,800AM-1200PM,-,We are closed Sunday's and all federal holidays.
573QJ,Jacksonville 2 VA Clinic,Jacksonville University Blvd,Other Outpatient Services (OOS),3901 University Boulevard South,,Jacksonville,FL,32216,904-475-5800 x,904-232-2149 x,877-741-3400 x,800-349-9457 x,904-475-6166 x,904-475-5849 x,30.2848678,-81.60261871,700AM-600PM,700AM-600PM,700AM-600PM,700AM-600PM,700AM-600PM,-,-,-
672,San Juan VA Medical Center,San Juan,VA Medical Center (VAMC),10 Calle Casia,,San Juan,PR,921,787-641-7582 x,787-641-4557 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x31224,787-641-7582 x11725,18.39162969,-66.08064845,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
672B0,Euripides Rubio Department of Veterans Affairs Outpatient Clinic,Ponce,Multi-Specialty CBOC,1010 Paseo Del Veterano,,Ponce,PR,716,787-812-3030 x,787-651-4321 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x44124,787-641-7582 x11725,17.98784076,-66.60331884,700AM-400PM,700AM-400PM,700AM-600PM,700AM-400PM,700AM-400PM,730AM-400PM,-,We are closed Sundays and all federal holidays.
672BZ,Mayaguez VA Clinic,Mayaguez,Multi-Specialty CBOC,345 Avenida Hostos,,Mayaguez,PR,680,787-834-6900 x,787-265-8825 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x48137,787-641-7582 x11725,18.18643274,-67.1505632,700AM-430PM,700AM-430PM,700AM-630PM,700AM-430PM,700AM-430PM,800AM-430PM,-,We are closed Sundays and all federal holidays.
672GA,Saint Croix VA Clinic,Saint Croix,Other Outpatient Services (OOS),10553 Kingshill,Suite 113,St. Croix,VI,850,340-778-5553 x,340-778-9497 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x31224,787-641-7582 x11725,17.72811446,-64.8190875,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
672GB,Saint Thomas VA Clinic,Saint Thomas,Other Outpatient Services (OOS),50 Estates Thomas,Suite 101,Saint Thomas,VI,802,340-774-6674 x,340-774-2069 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x31224,787-641-7582 x11725,18.3400897,-64.94308483,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
672GC,Arecibo VA Clinic,Arecibo,Primary Care CBOC,Avenida V’ctor Rojas II,Zona Industrial Carrizal 9,Arecibo,PR,616,787-816-1818 x,787-816-1824 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x31224,787-641-7582 x11725,18.47539935,-66.72175586,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,-,-,We are closed weekends and all federal holidays.
672GD,Ceiba VA Clinic,Ceiba-Pueblo Ward,Primary Care CBOC,"PR-3, Kilometers 54.9",Lot 3,Pueblo Ward,PR,735,787-522-2662 x,787-641-9518 x,787-641-7582 x,787-641-7582 x25132,787-641-7582 x29001,787-641-7582 x11725,18.26897618,-65.65047559,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
672GE,Guayama VA Clinic,Guayama,Primary Care CBOC,850 Calle Arnaldo Bristol,"1st Floor, Suite 1",Guayama,PR,784,787-866-8750 x,787-866-8795 x,787-641-7582 x,787-641-7582 x31163,787-641-7582 x44124,787-641-7582 x11725,17.97133081,-66.1203165,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
672QA,Comerio VA Clinic,Comerio,Other Outpatient Services (OOS),Jose de Diego Street,Suite 15,Comerio,PR,782,787-522-2660 x,787-641-1622 x,787-641-7582 x28601,787-641-7582 x31164,787-641-7582 x28101,787-641-7582 x13010,18.2194167,-66.22287166,730AM-230PM,730AM-230PM,730AM-230PM,730AM-230PM,730AM-200PM,-,-,We are closed weekends and all federal holidays.
672QB,Utuado VA Clinic,Utuado,Other Outpatient Services (OOS),Calle Isaac Gonzalez Esquina Ledesma,,Utuado,PR,641,787-522-2650 x,787-522-2649 x,787-641-7582 x28601,787-641-7582 x31164,787-641-7582 x28655,787-641-7582 x13010,18.26380761,-66.6992014,730AM-130PM,730AM-400PM,730AM-130PM,730AM-400PM,730AM-130PM,-,-,We are closed weekends and all federal holidays.
672QC,Vieques VA Clinic,Vieques,Other Outpatient Services (OOS),Road 997,,Vieques,PR,765,787-522-2690 x,787-641-1622 x,787-641-7582 x28601,787-641-7582 x31164,787-641-7582 x28606,787-641-7582 x13010,18.12024489,-65.53777518,730AM-100PM,730AM-200PM,1030AM-400PM,730AM-400PM,730AM-400PM,-,-,We are closed weekends and all federal holidays.
673,James A. Haley Veterans' Hospital,Tampa,VA Medical Center (VAMC),13000 Bruce B. Downs Boulevard,,Tampa,FL,33612,813-972-2000 x,813-972-7673 x,813-903-3600 x3650,813-972-7630 x,813-972-2000 x5570,813-978-5856 x,28.06416103,-82.42617192,630AM-530PM,630AM-530PM,630AM-530PM,630AM-530PM,630AM-530PM,800AM-1200PM,-,Administrative hours 8 a.m. to 4:30 p.m.  We are closed Sundays and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
673BV,Tampa VA Domiciliary,Tampa Domiciliary,Residential Care Site (MH RRTP/DRRTP) (Stand-Alone),4700 North Habana Avenue,,Tampa,FL,33606,813-972-2000 x,813-972-7673 x,813-972-2000 x3650,888-281-5463 x,813-972-2000 x7658,813-978-5856 x,27.98556258,-82.48880523,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
673BZ,New Port Richey VA Clinic,New Port Richey,Multi-Specialty CBOC,9912 Little Road,,New Port Richey,FL,34654,727-869-4100 x,727-869-4194 x,813-903-3600 x,813-972-7630 x,813-972-2000 x5570,813-978-5856 x,28.30100992,-82.66953957,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
673GB,Lakeland VA Clinic,Lakeland,Multi-Specialty CBOC,4237 South Pipkin Road,,Lakeland,FL,33811,863-701-2470 x,863-701-2474 x,813-903-3600 x,813-922-7630 x,813-972-2000 x5570,813-978-5856 x,27.98810733,-81.99644106,700AM-430PM,700AM-430PM,700AM-430PM,700AM-430PM,700AM-430PM,800AM-1200PM,-,We are closed Sundays and all federal holidays.
673GC,Brooksville VA Clinic,Brooksville,Multi-Specialty CBOC,14540 Cortez Boulevard,Suite 108,Brooksville,FL,34613,352-597-8287 x,352-597-7060 x,813-903-3600 x,813-972-7630 x,813-972-2000 x5570,813-978-5856 x,28.53374336,-82.48422066,700AM-430PM,700AM-430PM,700AM-430PM,700AM-430PM,700AM-430PM,-,-,We are closed weekends and all federal holidays.
