facility_id,original_facility_id,location_descriptive_name_common_name,street_address,suite_building_number,city,state,zip_code,station_phone_number,station_fax_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,hours_note
VBA90,321,New Orleans Regional Office,1250 Poydras Street,Suite 200,New Orleans,LA,70113,504-619-4421,504-252-4676,29.950396,-90.07641,8 am to 4 pm,8 am to 4 pm,8 am to 4 pm,8 am to 4 pm,8 am to 4 pm,n/a,n/a,
VBA91,320,Nashville Regional Office VetSuccess on Campus at MTSU,"VetSuccess on Campus Representative, Registrar��_��__s Office",201 Cope Administration Building, Murfreesboro,TN,37132,615-898-2974,none,35.677588,-85.76078,7:30 am - 5 pm,7:30 am - 5 pm,7:30 am - 5 pm,7:30 am - 5 pm,7:30 am - 12 pm,closed,closed,Closed every other Friday_
VBA92,320,Nashville RO VetSuccess on Campus at APSU,"VetSuccess on Campus, Austin Peay State University",P O Box  4674,Clarksville,TN,37044,931-221-6194,none,25.833644,-80.332553,7:30 am - 4:30 pm,7:30 am - 4:30 pm,7:30 am - 4:30 pm,7:30 am - 4:30 pm,7:30 am - 12 pm,Closed,Closed,Closed every other Friday_
VBA93,320,VRE Clarksville Outbased Office,227-B Dunbar Cave Rd,,Clarksville,TN,37043,901-906-0230,931-906-1515,36.549428,-87.289302,7 am - 3:30 pm,7 am - 3:30 pm,7 am - 3:30 pm,7 am - 3:30 pm,7 am - 3:30 pm,Closed,Closed,
VBA94,320,Fort Campbell VRE IDES Outbased Office,5668 Wickam Ave,,Fort Campbell,KY,42223,931-431-2447,931-431-5014,36.6536,-87.4597,7:30 am - 3 pm,7:30 am - 3 pm,7:30 am - 3 pm,7:30 am - 3 pm,7:30 am - 3 pm,Closed,Closed,
VBA95,320,"J.D. Duncan Federal Building, Vocational Rehabilitation and Employment Services",710 Locust Street,Suite 205,Knoxville,TN,37902,865-545-4307,865-545-4306,35.961819,-83.919922,6:30 am - 5 pm,6:30 am - 5 pm,6:30 am - 5 pm,6:30 am - 5 pm,6:30 am - 5 pm,Closed,Closed,
VBA96,320,Memphis VRE Outbased Office,225 N. Humphreys Blvd,Suite 1028,Memphis,TN,38120,901-544-0380,901-544-0332,35.133061,-89.863133,6 am - 4 pm,6 am - 4 pm,6 am - 4 pm,6 am - 4 pm,6 am - 4 pm,Closed,Closed,
VBA97,320,"Nashville Regional Office, Vocaitonal Rehabilitation and Employment",110 9th Ave South,Room A110,Nashville,TN,37203,615-695-6372,615-695-6164,36.15814,-86.783282,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,Closed,Closed,
VBA98,343,Oakland Regional Office,1301 Clay Street,Suite 1400 North,Oakland,CA,94612,510-637-6128,510-637-6119,37.804927,-122.274913,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,
VBA99,n/a,Camp Lejeune Pre-Discharge Intake Site,"Building 501, N Street",,Camp Lejeune,NC,28547,910 451-0801,910 451-0802,34.653237,-77.346603,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,None,None,
VBA100,Building 4-2843,"Department of Veterans Affair Office, Fort Bragg, NC",Building 4-2843 Normandy Drive,,Fort Bragg,North Carolina,28307,910-396-8472,910-396-6512,35.141115,-78.998469,8 am to 4pm,8 am to 4pm,8 am to 4pm,8 am to 4pm,8 am to 4pm,8 am to 4pm,8 am to 4pm,
VBA101,VA Medical Center,Grand Island NE VA Medical Center,2201 N Broadwell Avenue,,Grand Island,NE,68803,(308) 382-3660,N/A,40.943418,-98.357181,N/A,N/A,10:00 am - 2:30 pm ,N/A,N/A,Closed ,Closed ,_Closed on federal holidays
VBA102,VA Medical Center,Lincoln VA Medical Center,600 S 70th Street,,Lincoln,NE,68510,(402) 489-3802,N/A,40.807765,-96.621372,N/A,8:00 am - 4:30 pm ,N/A,N/A,N/A,Closed,Closed,_Closed on federal holidays
VBA103,Omaha VA Medical Center,Omaha VA Medical Center,4101 Woolworth Avenue,,Omaha,NE,68105,"(800) 451-5796, ext 3215",N/A,41.242985,-95.97427,N/A,8:00 am - 4:30 pm ,N/A,N/A,N/A,Closed,Closed,_Closed on federal holidays.
VBA104,323C,Offutt AFB Building C,106 Peacekeeper Drive STE 2N3 ,705 Nelson Drive,Offutt AFB,NE,68113,(402) 232-8136 and (402) 232-7363,(402) 232-8137,41.124846,-95.919855,8:00 am - 4:00 pm ,8:00 am - 4:00 pm ,8:00 am - 4:00 pm ,8:00 am - 4:00 pm ,8:00 am - 4:00 pm ,Closed,Closed,_Closed on all federal holidays.
VBA105,322,Montgomery Vocational Rehabilitation and Employment Services Office,603 Interstate Park Drive,,Montgomery,Alabama,36109,334-396-1986,334-396-9091,32.361849,-86.24313,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,
VBA106,322,Birmingham Vocational Rehabilitation and Employment Services Office,950 22nd Street North,# 777,Birmingham,Alabama,35203,205-731-0037,205-731-0036,33.524939,-86.809127,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,
VBA107,322,Huntsville Vocational Rehabilitation and Employment Services Office,400 Meridian Street,Suite 101,Huntsville,Alabama,35801,256-533-2507,256-533-2572,34.734923,-86.586503,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,Closed,Closed,
VBA108,322,Mobile Vocational Rehabilitation and Employment Services Office,900 Western America Circle,# 104,Mobile,Alabama,36609,251-441-5615,251-441-6897,30.673671,-88.131089,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,Closed,Closed,
VBA109,322,Daleville Vocational Rehabilitation and Employment Services Office,807 Donnell Blvd ,# 1,Daleville,Alabama,36322,334-503-9084,334-503-9328,31.314758,-85.706177,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,Closed,Closed,
VBA110,322,Pensacola Vocational Rehabilitation and Employment Services Office,1009 North 12th Avenue,,Pensacola,Florida,32501,850-432-0740,850-469-0316,30.425804,-87.203099,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,Closed,Closed,
VBA111,322,Fort Walton Beach Vocational Rehabilitation and Employment Services Office ,411 NE Racetrack Road,,Fort Walton Beach,Florida,32547,850-862-2107,850-862-8667,30.4058,-86.6188,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,Closed,Closed,
VBA112,316,Atlanta RO Office  - Vocational Rehabilitation and Employment Services Office,1700 Clairmont Road,,decatur,Georgia,30031-7024,404-929-3152,404-929-3168,33.803714,-84.31124,8 a.m. to 4p.m.,8 a.m. to 4 p.m.,8 a.m. to 4 p.m.,8 a.m. to 4 p.m.,8 a.m. to 4 p.m.,not open,not open,"_
Savannah is 7:30am ��_��__ 4:30pm
��_��__
��_��__"
VBA113,308,Hartford Regional Office,555 Willard Ave,,Newington,CT,6111,860-666-7300,860-667-1062,41.702106,-72.741049,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,
VBA114,452,Wichita VA Regional Office,5500 E Kellogg,,Wichita,Kansas,67218,1-800-827-1000,(316) 688-6825,37.681225,-97.27468,8 am - 4 pm,8 am - 4 pm,8:30 am - 4 pm,8 am - 4 pm,8 am - 4 pm,NA,NA,
VBA115,328,Chicago Regional Benefit Office,2122 W. Taylor Street,,Chicago ,Illinois ,60612,800-827-1000,312-980-4503,41.869194,-87.678904,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,_The Chicago Regional Office is closed on all Federal holidays.
VBA116,349/28,Vocational Rehabilitation & Employment,Olin E Teague VAMC,1901 Veterans Memorial Dr. ,Temple ,Texas,76504,254-743-1756,254-743-1708,31.077081,-97.347073,8am - 430pm,8am - 430pm,8am - 430pm,8am - 430pm,8am - 430pm,N/A,N/A,
VBA117,349/28,Dallas Vocational Rehabilitation & Employment,Dept of VA VAMC-Bldg 2 Rm 1C409,4500 S. Lancaster Rd. ,Dallas,Texas,75216,214-857-4213,214-302-1496,32.695024,-96.790386,8 am - 430 pm,8 am - 430 ,8 am - 430 ,8 am - 430 ,8 am - 430 ,N/A,N/A,
VBA118,349/28,Tyler Vocational Rehabilitation & Employment,Dept of Veterans Affairs,1700 SSE Loop 323 STE 310,Tyler ,Texas,75701,903-565-0441,903-565-0723,32.308643,-95.279911,8 am - 430 ,8 am - 430 ,8 am - 430 ,8 am - 430 ,8 am - 430 ,N/A,N/A,
VBA119,328,Chicago Regional Office - Lovell Federal Health Care Center Outbased Office,3001 N. Green Bay Road,"Lovell FHCC, Building 133, Rooms 115 D & 115 E",North Chicago,Illinois,60064,224-610-1438 and 224-610-1489 ,224-610-2923,42.755319,-87.821697,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,Closed,Closed,
VBA120,323,Jackson Regional Benefits Office,1600 E. Woodrow Wilson Ave. ,,Jackson ,MS,39216,601-364-7010,601-364-7007,32.326355,-90.16411,8:00 am - 4:00 pm,8:00 am - 4:00 pm,8:00 am - 4:00 pm,8:00 am - 4:00 pm,8:00 am - 4:00 pm,N/A,N/A,_All times are CST
VBA121,317,West Palm Beach Out Based VBA Office,7305 N. Military Trail,,West Palm Beach,FL,33410,(561) 422-8302,(561) 422-7413,26.784962,-80.112526,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,CLOSED,CLOSED,
VBA122,14927446,TIdewater Community College - Norfolk Campus,350 Granby Street,,Norfolk ,VA,235140,757-822-1085,757-822-1643,36.850891,-76.289444,7:00am - 4:30pm,7:00am - 4:30pm,N/A,N/A,7:00am - 3:30pm,N/A,N/A,"_VSOC at different location W & Th
VSOC is out of office every other Friday"
VBA123,311,Pittsburgh Regional Office,1000 Liberty Avenue,,Pittsburgh,PA,15222,1-800-827-1000,n/a,40.443472,-79.994558,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,
VBA124,N/A,"Tyler, Texas (Outbased Office for the Waco Regional Benefit Office)",1700 SSE Loop 322,Suite 310 (Tanglewood Center),Tyler,TX,75701,"903-565-0441, ext. 1",903-565-0723,31.979171,-102.142874,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,_(None)
VBA125,N/A,"Austin, Texas (Outbased Office for the Waco Regional Benefit Office)",7901 Metropolis Drive,Rooms 1G-104 and 1G-105 (Austin VA Outpatient Clinic),Austin,TX,78744,512-823-4582,512-823-4603,30.205292,-97.693652,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,Closed,Closed,_(None)
VBA126,N/A,"Dallas, Texas (Outbased Office for the Waco Regional Benefit Office)",4500 S. Lancaster Road,"Bldg. 2, Room 1C409 (Dallas VA Medical Center)",Dallas,TX,75216,214-857-4201,214-302-7496,32.695024,-96.790386,8:30 am - 4 pm,8:30 am - 4 pm,8:30 am - 4 pm,8:30 am - 4 pm,8:30 am - 4 pm,Closed,Closed,(None)_
VBA127,N/A,"Amarillo, Texas (Outbased Office for the Waco Regional Benefit Office)",6010 Amarillo Blvd. W.,(Located in the Amarillo VA Medical Center),Amarillo,TX,79106,806-468-1882,806-356-3815,35.18655,-101.916,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,Closed,Closed,(None)_
VBA128,314,Roanoke Regional Benefit Office,210 Franklin Rd SW,,Roanoke,Virginia ,24011,(800) 827-1000,(540) 597-1792,37.268352,-79.94432,8:30 am to 4:00 pm,8:30 am to 4:00 pm,8:30 am to 4:00 pm,8:30 am to 4:00 pm,8:30 am to 4:00 pm,Closed,Closed,_Closed on Federal holidays
VBA129,N/A,"Fort Worth, Texas (Outbased Office for the Waco Regional Benefit Office)",2201 SE Loop 820,(Located in the Fort Worth VA Outpatient Clinic) ,Fort Worth,TX,76119,817-730-0397,817-730-0785,32.669979,-97.298997,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,_(None)
VBA130,314,"Fort Lee, Virginia",Kenner Army Health Climic Attn. MCXD-PAD,700 24th St. Building 8130,Fort Lee,Va.,23801,8047349314,8047349389,37.239408,-77.348795,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,closed,closed,
VBA131,314,Norfolk Business Office,2551 Eltham Ave,Suite E,Norfolk,Virginia,23513,(757) 858-6154,(757) 858-6146,36.877316,-76.222122,8:00 am to 4:00 pm,8:00 am to 4:00 pm,8:00 am t0 4:00 pm,8:00 am to 4:00 pm,8:00 am to 4:00 pm,closed,closed,Closed on Federal holidays_
VBA132,N/A,"Temple, Texas (Outbased Office for the Waco Regional Benefit Office) ",1901 Veterans Memorial Drive,"Bldg. 2, Room 2B-1036 (Located in the Temple VA Medical Center)",Temple,TX,76504,"254-778-4811, ext. 40989",254-743-0160,31.077081,-97.347073,9 am - 2:30 pm,Closed,9 am - 2:30 pm,Closed,9 am - 2:30 pm,Closed,Closed,_Itinerant service only is provided at this location; and the Legal Administrative Specialist assigned to this location has other duty assignments as well.
VBA133,11904116,Norfolk State University,700 Park Avenue,,Norfolk,VA,23504,757-823-8551,757-823-2078,36.849439,-76.26721,N/A,N/A,7:00 - 4:30pm,7:00 - 4:30pm,N/A,N/A,N/A,"_VSOC at different location M, T & F"
VBA134,314,Saint Leo University,1434 Crossways Blvd,,Chesapeake,VA,23320,757-227-4450,757-227-4505,36.778053,-76.24447,6:45am - 4:15pm,6:45am - 4:15pm,6:45am - 4:15pm,6:45am - 4:15pm,6:45am - 4:15pm,N/A,N/A,_VSOC is out of office every other Monday
VBA135,314,ECPI University,5555 Greenwich Rd,,Virginia Beach,VA,23462,757-217-9459,757-213-3542,36.842669,-76.17891,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,N/A,N/A,
VBA136,N/A,"Waco, Texas (Outbased Office for the Waco Regional Benefit Office)",4800 Memorial Drive,"Bldg. 2, Room 2B-103A (Located in the Waco VA Medical Center)",Waco,TX,76711,254-297-3552,254-756-7806,31.512878,-97.163809,Closed,9:30 am - 2:30 pm,Closed,9:30 am - 2:30 pm,Closed,Closed,Closed,_Itinerant service only is provided at this location; and the Legal��_��__Administrative Specialist��_��__assigned to��_��__this��_��__location has other duty assignments as well.��_��__
VBA137,314,"Fort Eustis, Virginia",McDonald Army Health Center Building 576,Jefferson Ave. M 19/20,Fort Eustis,Va.,23604,7573147500,7573147775,36.967489,-76.412243,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,closed,closed,
VBA138,314,Hampton Outbased Office,5200 W. Mercury Blvd,,Hampton,Virginia,23605,(757) 441-6762,(757) 441-3783,37.021895,-76.439552,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,Closed,Closed,Closed on Federal holidays_
VBA139,314,Old Dominion University,1002 Student Success Center,,Norfolk,VA,23529,757-683-7114,757-683-5920,31.485177,-83.53054,8:00am - 5:30pm,8:00am - 5:30pm,8:00am - 5:30pm,8:00am - 5:30pm,8:00am - 4:30pm,N/A,N/A,_VSOC is out of office every other Friday
VBA140,314,Richmond Outbased Office,McGuire VAMC,Building 507,Richmond ,Virginia,23249,(804) 675-6569,(804) 675-5702,37.940923,-76.840606,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,Closed,Closed,Closed on Federal holidays_
VBA141,314,Tidewater Community College - VA Beach Campus,1700 College Crescent,,Virginia Beach,VA,23453,757-822-7235,757-822-1629,36.786831,-76.101527,6:15am - 3:45pm,6:15am - 3:45pm,6:15am - 3:45pm,6:15am - 3:45pm,6:15am - 3:45pm,N/A,N/A,_VSOC is out of office every other Monday
VBA142,314,"Liberty University, Virginia",Liberty University - Student Service Center,1971 University Blvd.,Lynchburg,Va.,24515,4345925785,5405971791,37.352613,-79.179061,8 a.m. - 5 p.m.,8 a.m.  - 5 p.m.,8 a.m. - 5 p.m.,8 a.m. - 5 p.m.,8 a.m. - 5 p.m.,closed,closed,
VBA143,349,Waco Regional Benefit Office,701 Clay Avenue,One Veterans Plaza,Waco,TX,76799,1-800-827-1000,254-299-9541,31.551544,-97.129242,8:30 am - 4 pm,8:30 am - 4 pm,8:30 am - 4 pm,8:30 am - 4 pm,8:30 am - 4 pm,Closed,Closed,_(None)
VBA144,314,Tidewater Community College - Portsmouth Campus,120 Campus Drive,,Portsmouth,VA,23701,757-822-1122,757-822-2919,43.042682,-70.777997,8:30am - 6:00pm,8:30am - 6:00pm,8:30am - 6:00pm,N/A,N/A,N/A,N/A,_VSOC at different location Th-F
VBA145,314,Tidewater Community College - Chesapeake Campus,1428 Cedar Rd,,Chesapeake,VA,23322,757-822-5117,757-822-5122,36.72647,-76.293169,N/A,N/A,N/A,8:30am - 6:00pm,8:30am - 5:00pm,N/A,N/A,_VSOC at different location M-W
VBA146,314,Langley IDES Site,"633rd/MEB 77 Nealy Ave, Bldg 266, MEB",,Hampton,Virginia,23665,(757) 225-6959,(757) 225-5842,37.074197,-76.357235,8: 00 am to 4:00 pm ,8: 00 am to 4:00 pm ,8: 00 am to 4:00 pm ,8: 00 am to 4:00 pm ,8: 00 am to 4:00 pm ,Closed,Closed,Closed on Federal holidays_
VBA147,314,Fort Lee IDES Site,"700 24th Street, Bldg 8130","2nd Floor, Room 210",Fort Lee,Virginia,23801,(804) 734-9874,(804) 734-9389,37.2469,-77.3344,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,8:00 am to 4:00 pm ,Closed,Closed,Closed on Federal holidays_
VBA148,314,Fort Eustis IDES Site,"McDonald Army Health Center, IDES Bldg",579 Jefferson Ave,Fort Eustis,Virginia,23604,(757) 314-7789,(757) 314-7573,36.967489,-76.412243,8:00 am to 4:00 pm,8:00 am to 4:00 pm,8:00 am to 4:00 pm,8:00 am to 4:00 pm,8:00 am to 4:00 pm,Closed,Closed,_Closed on Federal holidays
VBA149,314,Portsmouth IDES Site,620 John Paul Jones Circle,"Bldg 3, 7th Floor, Room 104",Portsmouth,Virginia,23708,(757) 953-9252,(757) 953-1465,36.843805,-76.304725,7:00 am to 3:30 pm ,7:00 am to 3:30 pm ,7:00 am to 3:30 pm ,7:00 am to 3:30 pm ,7:00 am to 3:30 pm ,Closed ,Closed ,_Closed on Federal holidays
VBA150,314,Portsmouth Naval Hospital,620 John Paul Blvd,,Portsmouth,VA,23708,757-953-5008,757-953-0857,36.52063,-79.732422,7:30am - 5:00pm,N/A,7:30am - 5:00pm,N/A,7:30am - 4:00pm,N/A,N/A,_IDES VRC works at different location on Tuesday and Thursday
VBA151,N/A,"El Paso, Texas (Outbased Office for the Waco Regional Benefit Office)",5001 N. Piedras Street,(Located in the El Paso VA Outpatient Clinic),El Paso,TX,79930,"915-564-6100, ext. 7150",915-564-7883,31.820673,-106.461457,8 am - 3:45 pm,8 am - 3:45 pm,8 am - 3:45 pm,8 am - 3:45 pm,8:30 am - 4:15 pm,Closed,Closed,_(None)
VBA152,316,Atlanta Regional Benefit Office,1700 Clairmont Road,,Decatur,Georgia,30033,800-827-1000,404-929-5819,33.803714,-84.31124,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,N/A,N/A,
VBA153,322,Northwest Florida State College - Vet Success on Campus,Student Services Center (SSC 231),100 College Blvd,Niceville,Florida,32578,850-678-5111 ext 6752,850-729-4912,30.536495,-86.47197,7:30am - 4:00pm,7:30am - 4:00pm,7:30am - 4:00pm,7:30am - 4:00pm,7:30am - 4:00pm,Closed,Closed,
VBA154,322,University of West Florida - Vet Success on Campus,Military and Veterans Resource Center,11000 University Pkwy,Pensacola,Florida,32514,850-474-2550,850-474-2671,30.549086,-87.215283,7:30am - 4pm,7:30am - 4pm,7:30am - 4pm,7:30am - 4pm,7:30am - 4pm,Closed,Closed,
VBA155,322,University of Alabama - Vet Success on Campus,301 7th Ave,Houser Hall Ste 3000 Box 870251,Tuscaloosa,Alabama,35487,205-348-0983,205-348-5804,33.83582,-86.253024,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,Closed,Closed,
VBA156,322,Troy University - Vet Success on Campus,122 Trojan Center,,Troy,Alabama,36082,334-808-6624,None,31.820073,-85.972159,7:30am - 4pm,7:30am - 4pm,7:30am - 4pm,7:30am - 4pm,7:30am - 4pm,Closed,Closed,
VBA157,313,Baltimore Regional Office,"31 Hopkins Plaza, Ste 2117",,Baltimore ,Maryland,21201,410-230-4510,410-230-4516,39.289194,-76.616452,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,closed,closed,
VBA158,Bldg 813,FT Carson IDES and BDD Site,1626 O'Connell Blvd.,,FT Carson,CO ,80913,719-526-1818,None,38.741387,-104.793087,7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,None,None,
VBA159,328,Chicago Regional Office - Belleville VR&E Outbased Location,521 W. Main Street,Suite 105,Belleville,Illinois,62220,618-239-0087,618-239-0099,38.514453,-89.991357,7 am - 5:30 pm,7 am - 5:30 pm,7 am - 5:30 pm,7 am - 5:30 pm,7 am - 3:30 pm,Closed,Closed,
VBA160,328,"Chicago Regional Office - Davenport, Iowa VR&E Outbased Office",1910 East Kimberly Road,Suite 313,Davenport,Iowa,52807,"563-391-1058, Ext. 15",563-391-1311,41.558235,-90.548389,7 am - 3:30 pm,7 am - 3:30 pm,7 am - 3:30 pm,7 am - 3:30 pm,7 am - 3:30 pm,Closed,Closed ,
VBA161,349,Austin-1 VR&E Office,6448 Hwy 290,Suite C107,Austin,Texas,78723,512-206-0857,521-206-0858,30.322231,-97.695731,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,closed,closed,
VBA162,328,Chicago Regional Office - Peoria VR&E Outbased office,406 Elm Street,Illinois Dept. of Employment Security (IDES) Building ,Peoria,Illinois,61605,309-637-3074,309-637-3552,40.686702,-89.60061,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,Closed,Closed,
VBA163,349,Austin-2 VR&E Office (within VAOPC),7901 Metropolis Drive,,Austin,Texas,78744,"512-823-4504 for Leah Augustine-Veal, VRC; 512-823-4597 for Allisa Shepard, VRC; 512-823-4344 for Pamala Charles, VRC",512-823-4133,30.205292,-97.693652,7am - 4:30pm,7am - 4:30pm,7am - 4:30pm,7am - 4:30pm,7am - 4:30pm,closed,closed,
VBA164,328,Chicago Regional Office - Urbana VR&E Outbased office,908 W. Nevada Street,"Univ. of Ill.  Center for Wounded Veterans in Higher Educ., Room 1009",Urbana,Illinois,61801,217-244-3701,217-244-9008,40.106265,-88.220153,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,7:30 am - 4 pm,Closed,Closed,
VBA165,314,Langley Air Force Base ,633 FSS/FSFR,"45 Nealy Avenue, Suite B Room 231",Langley AFB,VA,23665,N/A,N/A,37.068798,-76.362631,N/A,8am-4pm,N/A,8 am-4pm,N/A,N/A,N/A,_VRC works on base and at Hampton outbased VR&E office.��_��__ Phone lines are being updated at this time.
VBA166,349,Dallas VR&E Office,4500 Lancaster Road,"VAMC-Bldg 2, Rm 1C409, VR&E",Dallas,Texas,75216,214-857-4213,214-302-1496,32.695024,-96.790386,8:30am - 4pm,8:30am - 4pm,8:30am - 4pm,8:30am - 4pm,8:30am - 4pm,closed,closed,
VBA167,328,Chicago Regoinal Office - Belleville VR&E Outbased Office,2500 Carlyle Avenue,Southwestern Illinois College/Veterans & Career Servcies,Belleville,Illinois,62221,618-222-5554,618-236-7963,38.515739,-89.924083,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,8 am - 4:30 pm,Closed,Closed,On Fridays - Southwestern College (SWIC)��_��__building open only until 4:00 pm_
VBA168,349,Temple VR&E Office,1901 Veterans Memorial Drive,"Olin Teague VAMC, Bldg T-117, VR&E (28)",Temple,Texas,76504,254-743-1756,254-743-1708,31.077081,-97.347073,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,closed,closed,_
VBA169,349,Fort Hood VR&E Office,Battalion Ave,"Copeland Soldiers Service Center, Room A313D, Bldg 18010",Fort Hood,Texas,76544,254-288-0011,254-288-2198,31.13785,-97.751427,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,8am - 4:30pm,closed,closed,
VBA170,347,Boise Regional Office,444 W. Fort Street,,Boise ,Idaho,83702,1-800-827-1000,208-429-2281,43.618158,-116.194181,8am-4:30pm,8am-4:30pm,8am-4:30pm,8am-4:30pm,8am-4:30pm,Closed,Closed,
VBA171,347,Boise VA VetSuccess on Campus (VSOC),1910 University Drive,Boise State University Veterans Center,Boise,ID,83725,208-426-3744,208-426-4312,43.605345,-116.206303,8:30 a.m. - 5 p.m.,8:30 a.m. - 5 p.m.,8:30 a.m. - 5 p.m.,8:30 a.m. - 5 p.m.,8:30 a.m. - 5 p.m.,Closed,Closed,
VBA172,347,Boise Vocational Rehabilitation Outbased Office,1651 Alvin Ricken Dr,Suite 106,Pocatello,Idaho,83201,208-429-2168,208-233-4471,42.869259,-112.410449,8:00 a.m. - 4:30 p.m.,8:00 a.m. - 4:30 p.m.,8:00 a.m. - 4:30 p.m.,8:00 a.m. - 4:30 p.m.,8:00 a.m. - 4:30 p.m.,Closed,Closed,
VBA173,349/28,Vocational Rehabilitation & Employment 0utbaced VSOC AUSTIN COMMUNITY COLLEGE  ,6001 Airport Blvd ,Suite 2280-B,Austin,TX,78752,512-223-7041 ,FAX: n/a,30.326096,-97.712974,8 am - 430 pm,8 am - 430 pm,8 am - 430 pm,8 am - 430 pm,8 am - 430 pm,n/a,n/a,
VBA174,349/28,Vocational Rehabilitation & employment outbased-VSOC- CENTRAL TX COLLEGE OFFICE  ,6200 W Central Texas Expressway,Bldg 118,Killeen,TX ,76540,254 501-3094,FAX: n/a,31.093621,-97.726452,8 am 430 pm,8 am 430 pm,8 am 430 pm,8 am 430 pm,8 am 430 pm,n/a,n/a,
VBA175,318,"Winston Salem Regional Office, Vocational Rehabilitation and Employment Division","251 N Main Street,",Suite 426,Winston Salem,NC,27155,336-714-6099,336-631-5054,36.096945,-80.243311,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,
VBA176,n/a,Austin Community College VetSuccess on Campus VR&E Office,6001 Airport Blvd,Suite 2280-B,Austin,Texas,78752,512-223-7041,512-419-9961,30.326096,-97.712974,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,8am - 4pm,closed,closed,
