facility_id,service_level_1,service_level_2
460GA,Primary Care,
460GA,Rehabilitation Care and Services,Audiology
460GA,Rehabilitation Care and Services,
460GA,Wellness and Preventative Care,Eating Right: Diet and Nutrition
460GA,Wellness and Preventative Care,
460GC,Mental Health Care,Outpatient Mental Health Care
460GC,Mental Health Care,Outpatient Specialized Mental Health Care 
460GC,Mental Health Care,
460GC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
460GC,Outpatient Medical Specialty Care,Diabetes
460GC,Outpatient Medical Specialty Care,Rheumatology/Arthritis
460GC,Outpatient Medical Specialty Care,
460GC,Outpatient Surgical Specialty Care, Podiatry
460GC,Outpatient Surgical Specialty Care,
460GC,Primary Care,
460GC,Wellness and Preventative Care,Weight Management Services/MOVE! 
460GC,Wellness and Preventative Care,
460GD,Eye (Vision) Care,Optometry
460GD,Eye (Vision) Care,
460GD,Mental Health Care,Outpatient Mental Health Care
460GD,Mental Health Care,Outpatient Specialized Mental Health Care 
460GD,Mental Health Care,
460GD,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
460GD,Outpatient Medical Specialty Care,Diabetes
460GD,Outpatient Medical Specialty Care,
460GD,Outpatient Surgical Specialty Care, Podiatry
460GD,Outpatient Surgical Specialty Care,
460GD,Primary Care,
460GD,Rehabilitation Care and Services,Compensated Work Therapy
460GD,Rehabilitation Care and Services,
460HE,Audiology,
460HE,Eye (Vision) Care,Optometry
460HE,Eye (Vision) Care,
460HE,Mental Health Care,Outpatient Mental Health Care
460HE,Mental Health Care,Outpatient Specialized Mental Health Care 
460HE,Mental Health Care,
460HE,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
460HE,Outpatient Medical Specialty Care,Diabetes
460HE,Outpatient Medical Specialty Care,
460HE,Outpatient Surgical Specialty Care, Podiatry
460HE,Outpatient Surgical Specialty Care,
460HE,Primary Care,
460HE,Rehabilitation Care and Services,Audiology
460HE,Rehabilitation Care and Services,
460HE,Wellness and Preventative Care,Eating Right: Diet and Nutrition
460HE,Wellness and Preventative Care,
460HG,Audiology,
460HG,Eye (Vision) Care,Optometry
460HG,Eye (Vision) Care,
460HG,Mental Health Care,Outpatient Mental Health Care
460HG,Mental Health Care,Outpatient Specialized Mental Health Care 
460HG,Mental Health Care,
460HG,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
460HG,Outpatient Medical Specialty Care,Diabetes
460HG,Outpatient Medical Specialty Care,
460HG,Outpatient Surgical Specialty Care, Podiatry
460HG,Outpatient Surgical Specialty Care,
460HG,Primary Care,
460HG,Rehabilitation Care and Services,Audiology
460HG,Rehabilitation Care and Services,
460HG,Wellness and Preventative Care,Eating Right: Diet and Nutrition
460HG,Wellness and Preventative Care,Weight Management Services/MOVE! 
460HG,Wellness and Preventative Care,
503,Audiology,
503,Dental Services,
503,Diagnostic Services,Imaging and Radiology
503,Diagnostic Services,Lab Services
503,Diagnostic Services,
503,Eye (Vision) Care,Optometry
503,Eye (Vision) Care,
503,Mental Health Care,Outpatient Mental Health Care
503,Mental Health Care,Outpatient Specialized Mental Health Care 
503,Mental Health Care,Vocational Assistance (Vocational Counselling and/or
503,Mental Health Care,
503,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
503,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
503,Outpatient Medical Specialty Care,Diabetes
503,Outpatient Medical Specialty Care,Gastroenterology
503,Outpatient Medical Specialty Care,Internal Medicine
503,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
503,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
503,Outpatient Medical Specialty Care,Rheumatology/Arthritis
503,Outpatient Medical Specialty Care,
503,Outpatient Surgical Specialty Care, Podiatry
503,Outpatient Surgical Specialty Care,General Surgery
503,Outpatient Surgical Specialty Care,Gynecology
503,Outpatient Surgical Specialty Care,Pain Management Clinic 
503,Outpatient Surgical Specialty Care,Urology
503,Outpatient Surgical Specialty Care,
503,Primary Care,
503,Rehabilitation Care and Services,Amputation System of Care Services
503,Rehabilitation Care and Services,Audiology
503,Rehabilitation Care and Services,Compensated Work Therapy
503,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
503,Rehabilitation Care and Services,Poly-trauma/Traumatic Brain Injury (TBI)
503,Rehabilitation Care and Services,Prosthetic Services and Sensory Aids
503,Rehabilitation Care and Services,Speech Pathology
503,Rehabilitation Care and Services,Spinal Cord Injury
503,Rehabilitation Care and Services,
503,Wellness and Preventative Care,Eating Right: Diet and Nutrition
503,Wellness and Preventative Care,Weight Management Services/MOVE! 
503,Wellness and Preventative Care,
503GA,Audiology,
503GA,Diagnostic Services,Lab Services
503GA,Diagnostic Services,
503GA,Eye (Vision) Care,Optometry
503GA,Eye (Vision) Care,
503GA,Mental Health Care,Outpatient Mental Health Care
503GA,Mental Health Care,
503GA,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
503GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
503GA,Outpatient Medical Specialty Care,Diabetes
503GA,Outpatient Medical Specialty Care,Rheumatology/Arthritis
503GA,Outpatient Medical Specialty Care,
503GA,Outpatient Surgical Specialty Care, Podiatry
503GA,Outpatient Surgical Specialty Care,
503GA,Primary Care,
503GA,Rehabilitation Care and Services,Audiology
503GA,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
503GA,Rehabilitation Care and Services,
503GA,Wellness and Preventative Care,Eating Right: Diet and Nutrition
503GA,Wellness and Preventative Care,Weight Management Services/MOVE! 
503GA,Wellness and Preventative Care,
503GB,Audiology,
503GB,Diagnostic Services,Lab Services
503GB,Diagnostic Services,
503GB,Eye (Vision) Care,Optometry
503GB,Eye (Vision) Care,
503GB,Mental Health Care,Outpatient Mental Health Care
503GB,Mental Health Care,
503GB,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
503GB,Outpatient Medical Specialty Care,Diabetes
503GB,Outpatient Medical Specialty Care,Rheumatology/Arthritis
503GB,Outpatient Medical Specialty Care,
503GB,Outpatient Surgical Specialty Care, Podiatry
503GB,Outpatient Surgical Specialty Care,
503GB,Primary Care,
503GB,Rehabilitation Care and Services,Audiology
503GB,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
503GB,Rehabilitation Care and Services,
503GB,Wellness and Preventative Care,Eating Right: Diet and Nutrition
503GB,Wellness and Preventative Care,Weight Management Services/MOVE! 
503GB,Wellness and Preventative Care,
503GC,Audiology,
503GC,Diagnostic Services,Imaging and Radiology
503GC,Diagnostic Services,Lab Services
503GC,Diagnostic Services,
503GC,Eye (Vision) Care,Optometry
503GC,Eye (Vision) Care,
503GC,Mental Health Care,Outpatient Mental Health Care
503GC,Mental Health Care,
503GC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
503GC,Outpatient Medical Specialty Care,Diabetes
503GC,Outpatient Medical Specialty Care,Rheumatology/Arthritis
503GC,Outpatient Medical Specialty Care,
503GC,Outpatient Surgical Specialty Care, Podiatry
503GC,Outpatient Surgical Specialty Care,
503GC,Primary Care,
503GC,Rehabilitation Care and Services,Audiology
503GC,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
503GC,Rehabilitation Care and Services,
503GC,Wellness and Preventative Care,Eating Right: Diet and Nutrition
503GC,Wellness and Preventative Care,Weight Management Services/MOVE! 
503GC,Wellness and Preventative Care,
503GD,Mental Health Care,Outpatient Mental Health Care
503GD,Mental Health Care,
503GD,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
503GD,Outpatient Medical Specialty Care,Diabetes
503GD,Outpatient Medical Specialty Care,Rheumatology/Arthritis
503GD,Outpatient Medical Specialty Care,
503GD,Primary Care,
503GD,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
503GD,Rehabilitation Care and Services,
503GD,Wellness and Preventative Care,Weight Management Services/MOVE! 
503GD,Wellness and Preventative Care,
503GE,Mental Health Care,Outpatient Mental Health Care
503GE,Mental Health Care,
503GE,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
503GE,Outpatient Medical Specialty Care,Rheumatology/Arthritis
503GE,Outpatient Medical Specialty Care,
503GE,Primary Care,
503GE,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
503GE,Rehabilitation Care and Services,
503GE,Wellness and Preventative Care,Weight Management Services/MOVE! 
503GE,Wellness and Preventative Care,
529,Audiology,
529,Complementary and Alternative Medicine,Chiropractic  Services
529,Complementary and Alternative Medicine,
529,Dental Services,
529,Diagnostic Services,Imaging and Radiology
529,Diagnostic Services,Lab Services
529,Diagnostic Services,Nuclear Medicine 
529,Diagnostic Services,
529,Extended Care,Outpatient Geriatric Medicine
529,Extended Care,
529,Eye (Vision) Care,Ophthalmology
529,Eye (Vision) Care,Optometry
529,Eye (Vision) Care,
529,Mental Health Care,Outpatient Mental Health Care
529,Mental Health Care,Outpatient Specialized Mental Health Care 
529,Mental Health Care,Vocational Assistance (Vocational Counselling and/or
529,Mental Health Care,
529,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
529,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
529,Outpatient Medical Specialty Care,Diabetes
529,Outpatient Medical Specialty Care,Internal Medicine
529,Outpatient Medical Specialty Care,Neurology
529,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
529,Outpatient Medical Specialty Care,
529,Outpatient Surgical Specialty Care, Podiatry
529,Outpatient Surgical Specialty Care,Gynecology
529,Outpatient Surgical Specialty Care,Ophthalmology
529,Outpatient Surgical Specialty Care,
529,Primary Care,
529,Rehabilitation Care and Services,Amputation System of Care Services
529,Rehabilitation Care and Services,Audiology
529,Rehabilitation Care and Services,Compensated Work Therapy
529,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
529,Rehabilitation Care and Services,Poly-trauma/Traumatic Brain Injury (TBI)
529,Rehabilitation Care and Services,Speech Pathology
529,Rehabilitation Care and Services,Spinal Cord Injury
529,Rehabilitation Care and Services,
529,Wellness and Preventative Care,Eating Right: Diet and Nutrition
529,Wellness and Preventative Care,Weight Management Services/MOVE! 
529,Wellness and Preventative Care,
529GA,Diagnostic Services,Imaging and Radiology
529GA,Diagnostic Services,
529GA,Mental Health Care,Outpatient Mental Health Care
529GA,Mental Health Care,
529GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
529GA,Outpatient Medical Specialty Care,Diabetes
529GA,Outpatient Medical Specialty Care,
529GA,Outpatient Surgical Specialty Care, Podiatry
529GA,Outpatient Surgical Specialty Care,
529GA,Primary Care,
529GA,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
529GA,Rehabilitation Care and Services,
529GA,Wellness and Preventative Care,Eating Right: Diet and Nutrition
529GA,Wellness and Preventative Care,Weight Management Services/MOVE! 
529GA,Wellness and Preventative Care,
529GB,Mental Health Care,Outpatient Mental Health Care
529GB,Mental Health Care,
529GB,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
529GB,Outpatient Medical Specialty Care,
529GB,Outpatient Surgical Specialty Care, Podiatry
529GB,Outpatient Surgical Specialty Care,
529GB,Primary Care,
529GB,Wellness and Preventative Care,Eating Right: Diet and Nutrition
529GB,Wellness and Preventative Care,Weight Management Services/MOVE! 
529GB,Wellness and Preventative Care,
529GC,Mental Health Care,Outpatient Mental Health Care
529GC,Mental Health Care,
529GC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
529GC,Outpatient Medical Specialty Care,Diabetes
529GC,Outpatient Medical Specialty Care,
529GC,Primary Care,
529GC,Wellness and Preventative Care,Eating Right: Diet and Nutrition
529GC,Wellness and Preventative Care,Weight Management Services/MOVE! 
529GC,Wellness and Preventative Care,
529GD,Mental Health Care,Outpatient Mental Health Care
529GD,Mental Health Care,
529GD,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
529GD,Outpatient Medical Specialty Care,
529GD,Primary Care,
529GD,Wellness and Preventative Care,Eating Right: Diet and Nutrition
529GD,Wellness and Preventative Care,Weight Management Services/MOVE! 
529GD,Wellness and Preventative Care,
529GF,Mental Health Care,Outpatient Mental Health Care
529GF,Mental Health Care,
529GF,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
529GF,Outpatient Medical Specialty Care,
529GF,Primary Care,
529GF,Wellness and Preventative Care,Eating Right: Diet and Nutrition
529GF,Wellness and Preventative Care,Weight Management Services/MOVE! 
529GF,Wellness and Preventative Care,
542,Audiology,
542,Dental Services,
542,Diagnostic Services,Imaging and Radiology
542,Diagnostic Services,Lab Services
542,Diagnostic Services,
542,Extended Care,Outpatient Geriatric Medicine
542,Extended Care,
542,Eye (Vision) Care,Optometry
542,Eye (Vision) Care,
542,Mental Health Care,Outpatient Mental Health Care
542,Mental Health Care,Outpatient Specialized Mental Health Care 
542,Mental Health Care,Vocational Assistance (Vocational Counselling and/or
542,Mental Health Care,
542,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
542,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
542,Outpatient Medical Specialty Care,Diabetes
542,Outpatient Medical Specialty Care,Infectious Disease
542,Outpatient Medical Specialty Care,Internal Medicine
542,Outpatient Medical Specialty Care,Neurology
542,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
542,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
542,Outpatient Medical Specialty Care,
542,Outpatient Surgical Specialty Care, Podiatry
542,Outpatient Surgical Specialty Care,Neurosurgery 
542,Outpatient Surgical Specialty Care,Orthopedics
542,Outpatient Surgical Specialty Care,Pain Management Clinic 
542,Outpatient Surgical Specialty Care,Urology
542,Outpatient Surgical Specialty Care,
542,Primary Care,
542,Rehabilitation Care and Services,Audiology
542,Rehabilitation Care and Services,Compensated Work Therapy
542,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
542,Rehabilitation Care and Services,Poly-trauma/Traumatic Brain Injury (TBI)
542,Rehabilitation Care and Services,Prosthetic Services and Sensory Aids
542,Rehabilitation Care and Services,Speech Pathology
542,Rehabilitation Care and Services,Spinal Cord Injury
542,Rehabilitation Care and Services,
542,Wellness and Preventative Care,Eating Right: Diet and Nutrition
542,Wellness and Preventative Care,Weight Management Services/MOVE! 
542,Wellness and Preventative Care,
542GA,Mental Health Care,Outpatient Mental Health Care
542GA,Mental Health Care,Outpatient Specialized Mental Health Care 
542GA,Mental Health Care,
542GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
542GA,Outpatient Medical Specialty Care,
542GA,Primary Care,
542GA,Wellness and Preventative Care,Eating Right: Diet and Nutrition
542GA,Wellness and Preventative Care,Weight Management Services/MOVE! 
542GA,Wellness and Preventative Care,
542GE,Extended Care,Outpatient Geriatric Medicine
542GE,Extended Care,
542GE,Mental Health Care,Outpatient Mental Health Care
542GE,Mental Health Care,
542GE,Primary Care,
542GE,Wellness and Preventative Care,Eating Right: Diet and Nutrition
542GE,Wellness and Preventative Care,Weight Management Services/MOVE! 
542GE,Wellness and Preventative Care,
562,Audiology,
562,Complementary and Alternative Medicine,Chiropractic  Services
562,Complementary and Alternative Medicine,
562,Dental Services,
562,Diagnostic Services,Imaging and Radiology
562,Diagnostic Services,Lab Services
562,Diagnostic Services,
562,Eye (Vision) Care,Optometry
562,Eye (Vision) Care,
562,Mental Health Care,Outpatient Mental Health Care
562,Mental Health Care,Outpatient Specialized Mental Health Care 
562,Mental Health Care,Vocational Assistance (Vocational Counselling and/or
562,Mental Health Care,
562,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
562,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
562,Outpatient Medical Specialty Care,Diabetes
562,Outpatient Medical Specialty Care,Internal Medicine
562,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
562,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
562,Outpatient Medical Specialty Care,Rheumatology/Arthritis
562,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
562,Outpatient Medical Specialty Care,
562,Outpatient Surgical Specialty Care, Podiatry
562,Outpatient Surgical Specialty Care,General Surgery
562,Outpatient Surgical Specialty Care,Orthopedics
562,Outpatient Surgical Specialty Care,Pain Management Clinic 
562,Outpatient Surgical Specialty Care,Urology
562,Outpatient Surgical Specialty Care,
562,Primary Care,
562,Rehabilitation Care and Services,Audiology
562,Rehabilitation Care and Services,Compensated Work Therapy
562,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
562,Rehabilitation Care and Services,Poly-trauma/Traumatic Brain Injury (TBI)
562,Rehabilitation Care and Services,Prosthetic Services and Sensory Aids
562,Rehabilitation Care and Services,Speech Pathology
562,Rehabilitation Care and Services,
562,Wellness and Preventative Care,Eating Right: Diet and Nutrition
562,Wellness and Preventative Care,Weight Management Services/MOVE! 
562,Wellness and Preventative Care,
562GA,Mental Health Care,Outpatient Mental Health Care
562GA,Mental Health Care,Outpatient Specialized Mental Health Care 
562GA,Mental Health Care,
562GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
562GA,Outpatient Medical Specialty Care,Diabetes
562GA,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
562GA,Outpatient Medical Specialty Care,
562GA,Outpatient Surgical Specialty Care, Podiatry
562GA,Outpatient Surgical Specialty Care,Urology
562GA,Outpatient Surgical Specialty Care,
562GA,Primary Care,
562GA,Rehabilitation Care and Services,Speech Pathology
562GA,Rehabilitation Care and Services,
562GA,Wellness and Preventative Care,Eating Right: Diet and Nutrition
562GA,Wellness and Preventative Care,Weight Management Services/MOVE! 
562GA,Wellness and Preventative Care,
562GB,Mental Health Care,Outpatient Mental Health Care
562GB,Mental Health Care,
562GB,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
562GB,Outpatient Medical Specialty Care,Diabetes
562GB,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
562GB,Outpatient Medical Specialty Care,
562GB,Outpatient Surgical Specialty Care,Urology
562GB,Outpatient Surgical Specialty Care,
562GB,Primary Care,
562GB,Wellness and Preventative Care,Eating Right: Diet and Nutrition
562GB,Wellness and Preventative Care,Weight Management Services/MOVE! 
562GB,Wellness and Preventative Care,
562GC,Mental Health Care,Outpatient Mental Health Care
562GC,Mental Health Care,
562GC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
562GC,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
562GC,Outpatient Medical Specialty Care,
562GC,Outpatient Surgical Specialty Care,Urology
562GC,Outpatient Surgical Specialty Care,
562GC,Primary Care,
562GC,Wellness and Preventative Care,Eating Right: Diet and Nutrition
562GC,Wellness and Preventative Care,Weight Management Services/MOVE! 
562GC,Wellness and Preventative Care,
562GD,Diagnostic Services,Lab Services
562GD,Diagnostic Services,
562GD,Mental Health Care,Outpatient Mental Health Care
562GD,Mental Health Care,Outpatient Specialized Mental Health Care 
562GD,Mental Health Care,
562GD,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
562GD,Outpatient Medical Specialty Care,Diabetes
562GD,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
562GD,Outpatient Medical Specialty Care,
562GD,Outpatient Surgical Specialty Care, Podiatry
562GD,Outpatient Surgical Specialty Care,Urology
562GD,Outpatient Surgical Specialty Care,
562GD,Primary Care,
562GD,Wellness and Preventative Care,Eating Right: Diet and Nutrition
562GD,Wellness and Preventative Care,Weight Management Services/MOVE! 
562GD,Wellness and Preventative Care,
562GE,Mental Health Care,Outpatient Mental Health Care
562GE,Mental Health Care,
562GE,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
562GE,Outpatient Medical Specialty Care,Diabetes
562GE,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
562GE,Outpatient Medical Specialty Care,
562GE,Outpatient Surgical Specialty Care,Urology
562GE,Outpatient Surgical Specialty Care,
562GE,Primary Care,
562GE,Rehabilitation Care and Services,Compensated Work Therapy
562GE,Rehabilitation Care and Services,Speech Pathology
562GE,Rehabilitation Care and Services,
562GE,Wellness and Preventative Care,Eating Right: Diet and Nutrition
562GE,Wellness and Preventative Care,Weight Management Services/MOVE! 
562GE,Wellness and Preventative Care,
595,Audiology,
595,Dental Services,
595,Diagnostic Services,Imaging and Radiology
595,Diagnostic Services,Lab Services
595,Diagnostic Services,Nuclear Medicine 
595,Diagnostic Services,
595,Eye (Vision) Care,Ophthalmology
595,Eye (Vision) Care,Optometry
595,Eye (Vision) Care,
595,Mental Health Care,Outpatient Mental Health Care
595,Mental Health Care,Outpatient Specialized Mental Health Care 
595,Mental Health Care,Vocational Assistance (Vocational Counselling and/or
595,Mental Health Care,
595,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
595,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
595,Outpatient Medical Specialty Care,Endocrinology
595,Outpatient Medical Specialty Care,Gastroenterology
595,Outpatient Medical Specialty Care,Hematology (Blood) Services 
595,Outpatient Medical Specialty Care,Infectious Disease
595,Outpatient Medical Specialty Care,Internal Medicine
595,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
595,Outpatient Medical Specialty Care,Neurology
595,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
595,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
595,Outpatient Medical Specialty Care,Rheumatology/Arthritis
595,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
595,Outpatient Medical Specialty Care,
595,Outpatient Surgical Specialty Care, Podiatry
595,Outpatient Surgical Specialty Care,ENT (Ears/Nose/Throat)
595,Outpatient Surgical Specialty Care,General Surgery
595,Outpatient Surgical Specialty Care,Gynecology
595,Outpatient Surgical Specialty Care,Ophthalmology
595,Outpatient Surgical Specialty Care,Orthopedics
595,Outpatient Surgical Specialty Care,Pain Management Clinic 
595,Outpatient Surgical Specialty Care,Plastic Surgery
595,Outpatient Surgical Specialty Care,Urology
595,Outpatient Surgical Specialty Care,Vascular Surgery
595,Outpatient Surgical Specialty Care,
595,Primary Care,
595,Rehabilitation Care and Services,Audiology
595,Rehabilitation Care and Services,Compensated Work Therapy
595,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
595,Rehabilitation Care and Services,Poly-trauma/Traumatic Brain Injury (TBI)
595,Rehabilitation Care and Services,Prosthetic Services and Sensory Aids
595,Rehabilitation Care and Services,Speech Pathology
595,Rehabilitation Care and Services,Spinal Cord Injury
595,Rehabilitation Care and Services,
595,Wellness and Preventative Care,Eating Right: Diet and Nutrition
595,Wellness and Preventative Care,Weight Management Services/MOVE! 
595,Wellness and Preventative Care,
595GA,Audiology,
595GA,Eye (Vision) Care,Optometry
595GA,Eye (Vision) Care,
595GA,Mental Health Care,Outpatient Mental Health Care
595GA,Mental Health Care,Outpatient Specialized Mental Health Care 
595GA,Mental Health Care,
595GA,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
595GA,Outpatient Medical Specialty Care,Endocrinology
595GA,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
595GA,Outpatient Medical Specialty Care,
595GA,Outpatient Surgical Specialty Care, Podiatry
595GA,Outpatient Surgical Specialty Care,
595GA,Primary Care,
595GA,Rehabilitation Care and Services,Audiology
595GA,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
595GA,Rehabilitation Care and Services,
595GA,Wellness and Preventative Care,Eating Right: Diet and Nutrition
595GA,Wellness and Preventative Care,Weight Management Services/MOVE! 
595GA,Wellness and Preventative Care,
595GC,Eye (Vision) Care,Optometry
595GC,Eye (Vision) Care,
595GC,Mental Health Care,Outpatient Mental Health Care
595GC,Mental Health Care,
595GC,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
595GC,Outpatient Medical Specialty Care,
595GC,Outpatient Surgical Specialty Care,Pain Management Clinic 
595GC,Outpatient Surgical Specialty Care,
595GC,Primary Care,
595GC,Rehabilitation Care and Services,Compensated Work Therapy
595GC,Rehabilitation Care and Services,
595GC,Wellness and Preventative Care,Weight Management Services/MOVE! 
595GC,Wellness and Preventative Care,
595GD,Mental Health Care,Outpatient Mental Health Care
595GD,Mental Health Care,Outpatient Specialized Mental Health Care 
595GD,Mental Health Care,
595GD,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
595GD,Outpatient Medical Specialty Care,
595GD,Primary Care,
595GD,Wellness and Preventative Care,Eating Right: Diet and Nutrition
595GD,Wellness and Preventative Care,
595GE,Audiology,
595GE,Diagnostic Services,Imaging and Radiology
595GE,Diagnostic Services,Lab Services
595GE,Diagnostic Services,
595GE,Eye (Vision) Care,Optometry
595GE,Eye (Vision) Care,
595GE,Mental Health Care,Outpatient Mental Health Care
595GE,Mental Health Care,Outpatient Specialized Mental Health Care 
595GE,Mental Health Care,
595GE,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
595GE,Outpatient Medical Specialty Care,Endocrinology
595GE,Outpatient Medical Specialty Care,
595GE,Outpatient Surgical Specialty Care,Orthopedics
595GE,Outpatient Surgical Specialty Care,Pain Management Clinic 
595GE,Outpatient Surgical Specialty Care,
595GE,Primary Care,
595GE,Rehabilitation Care and Services,Audiology
595GE,Rehabilitation Care and Services,Compensated Work Therapy
595GE,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
595GE,Rehabilitation Care and Services,
595GE,Wellness and Preventative Care,Eating Right: Diet and Nutrition
595GE,Wellness and Preventative Care,Weight Management Services/MOVE! 
595GE,Wellness and Preventative Care,
595GF,Mental Health Care,Outpatient Mental Health Care
595GF,Mental Health Care,
595GF,Primary Care,
642,Audiology,
642,Dental Services,
642,Diagnostic Services,Imaging and Radiology
642,Diagnostic Services,Lab Services
642,Diagnostic Services,Nuclear Medicine 
642,Diagnostic Services,
642,Extended Care,Outpatient Geriatric Medicine
642,Extended Care,
642,Eye (Vision) Care,Ophthalmology
642,Eye (Vision) Care,Optometry
642,Eye (Vision) Care,
642,Mental Health Care,Outpatient Mental Health Care
642,Mental Health Care,Outpatient Specialized Mental Health Care 
642,Mental Health Care,Vocational Assistance (Vocational Counselling and/or
642,Mental Health Care,
642,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
642,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
642,Outpatient Medical Specialty Care,Diabetes
642,Outpatient Medical Specialty Care,Dialysis and Dialysis Support Services 
642,Outpatient Medical Specialty Care,Endocrinology
642,Outpatient Medical Specialty Care,Gastroenterology
642,Outpatient Medical Specialty Care,Hematology (Blood) Services 
642,Outpatient Medical Specialty Care,Infectious Disease
642,Outpatient Medical Specialty Care,Internal Medicine
642,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
642,Outpatient Medical Specialty Care,Neurology
642,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
642,Outpatient Medical Specialty Care,Rheumatology/Arthritis
642,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
642,Outpatient Medical Specialty Care,
642,Outpatient Surgical Specialty Care, Podiatry
642,Outpatient Surgical Specialty Care,ENT (Ears/Nose/Throat)
642,Outpatient Surgical Specialty Care,General Surgery
642,Outpatient Surgical Specialty Care,Gynecology
642,Outpatient Surgical Specialty Care,Neurosurgery 
642,Outpatient Surgical Specialty Care,Ophthalmology
642,Outpatient Surgical Specialty Care,Orthopedics
642,Outpatient Surgical Specialty Care,Pain Management Clinic 
642,Outpatient Surgical Specialty Care,Plastic Surgery
642,Outpatient Surgical Specialty Care,Thoracic Surgery
642,Outpatient Surgical Specialty Care,Urology
642,Outpatient Surgical Specialty Care,Vascular Surgery
642,Outpatient Surgical Specialty Care,
642,Primary Care,
642,Rehabilitation Care and Services,Amputation System of Care Services
642,Rehabilitation Care and Services,Audiology
642,Rehabilitation Care and Services,Compensated Work Therapy
642,Rehabilitation Care and Services,Physical Medicine and Rehabilitation
642,Rehabilitation Care and Services,Poly-trauma/Traumatic Brain Injury (TBI)
642,Rehabilitation Care and Services,Prosthetic Services and Sensory Aids
642,Rehabilitation Care and Services,Speech Pathology
